mmsi,split,kind
211159000,Training,Trawler
211160770,Training,Passenger
211163700,Training,Cargo/Tanker
211164000,Training,Trawler
211168000,Training,Trawler
211174000,Training,Trawler
211174890,Test,Passenger
211178650,Training,Cargo/Tanker
211180000,Training,Trawler
211180740,Test,Cargo/Tanker
211180750,Test,Cargo/Tanker
211182000,Training,Trawler
211187000,Training,Trawler
211187040,Training,Cargo/Tanker
211187750,Training,Passenger
211189210,Test,Passenger
211189490,Training,Passenger
211214200,Training,Trawler
211214960,Training,Passenger
211215510,Test,Tug
211216660,Training,Cargo/Tanker
211229480,Training,Passenger
211230440,Training,Tug
211232670,Training,Tug
211236910,Training,Passenger
211238930,Training,Trawler
211245680,Training,Trawler
211257820,Training,Passenger
211274360,Training,Passenger
211279120,Training,Trawler
211286500,Training,Cargo/Tanker
211298640,Training,Trawler
211307520,Training,Trawler
211315030,Training,Passenger
211315620,Training,Trawler
211315870,Training,Pots and traps
211317290,Training,Trawler
211317580,Training,Passenger
211317720,Training,Trawler
211318770,Training,Tug
211324080,Training,Passenger
211327930,Test,Passenger
211332750,Training,Trawler
211335760,Training,Cargo/Tanker
211359800,Training,Passenger
211363350,Training,Cargo/Tanker
211365280,Test,Trawler
211370000,Training,Trawler
211378110,Training,Cargo/Tanker
211389510,Training,Trawler
211399540,Training,Passenger
211410690,Training,Trawler
211415000,Training,Trawler
211416000,Training,Trawler
211427000,Training,Trawler
211429550,Test,Passenger
211430400,Training,Tug
211432910,Training,Passenger
211433390,Training,Passenger
211437270,Training,Passenger
211454490,Training,Passenger
211455300,Training,Cargo/Tanker
211459000,Training,Trawler
211461490,Training,Passenger
211466100,Training,Passenger
211469000,Training,Trawler
211471880,Training,Cargo/Tanker
211477940,Training,Passenger
211482280,Training,Passenger
211485080,Training,Passenger
211486000,Training,Trawler
211489000,Test,Trawler
211493000,Training,Trawler
211493220,Training,Passenger
211493410,Training,Cargo/Tanker
211493420,Training,Cargo/Tanker
211502000,Training,Trawler
211511160,Training,Cargo/Tanker
211513070,Training,Tug
211513200,Training,Tug
211513250,Training,Cargo/Tanker
211515000,Training,Trawler
211515210,Training,Cargo/Tanker
211515230,Training,Cargo/Tanker
211516260,Training,Trawler
211517200,Training,Trawler
211517230,Training,Trawler
211519000,Training,Trawler
211526000,Training,Trawler
211532000,Test,Trawler
211533510,Training,Passenger
211535000,Training,Trawler
211537650,Training,Passenger
211546000,Training,Trawler
211549530,Training,Cargo/Tanker
211552780,Training,Passenger
211553960,Training,Tug
211560880,Training,Passenger
211564410,Test,Tug
211566150,Training,Passenger
211566170,Test,Passenger
211569800,Training,Passenger
211582530,Training,Passenger
211588200,Training,Passenger
211603820,Test,Passenger
211608000,Test,Trawler
211618000,Training,Trawler
211625000,Training,Trawler
211630370,Test,Salvage
211630940,Training,Passenger
211649260,Training,Passenger
211652700,Training,Passenger
211658000,Training,Trawler
211664680,Training,Passenger
211666580,Test,Passenger
211666720,Training,Supply
211667760,Training,Tug
211670140,Training,Passenger
211671000,Training,Trawler
211672010,Training,Passenger
211673580,Training,Passenger
211674090,Training,Passenger
211674580,Training,Passenger
211674670,Training,Passenger
211678910,Training,Passenger
211679500,Training,Passenger
211681480,Training,Passenger
211681610,Training,Tug
211681630,Test,Salvage
211682070,Training,Passenger
211682970,Training,Passenger
211684020,Training,Tug
211684570,Training,Passenger
211686340,Training,Passenger
211688960,Training,Passenger
211689670,Training,Passenger
211689830,Training,Passenger
211694770,Training,Passenger
211695600,Training,Passenger
211696040,Training,Tug
211696190,Training,Passenger
211701670,Training,Passenger
211704630,Training,Passenger
211705600,Training,Tug
211706350,Training,Tug
211707320,Training,Passenger
211793000,Training,Trawler
212034000,Training,Supply
212067000,Training,Tug
212089000,Training,Cargo/Tanker
212109000,Training,Cargo/Tanker
212121212,Test,Longliner
212126000,Training,Cargo/Tanker
212165000,Training,Tug
212200000,Training,Tug
212236000,Training,Cargo/Tanker
212275000,Test,Cargo/Tanker
212290000,Training,Supply
212313000,Training,Tug
212375000,Training,Cargo/Tanker
212383000,Test,Supply
212387000,Training,Supply
212388000,Training,Supply
212422000,Training,Cargo/Tanker
212437000,Training,Supply
212478000,Test,Tug
212492000,Training,Tug
212517000,Training,Supply
212570000,Training,Supply
212579000,Training,Supply
212644000,Training,Cargo/Tanker
212755000,Training,Supply
212925000,Training,Cargo/Tanker
212947000,Test,Cargo/Tanker
212949000,Training,Cargo/Tanker
212952000,Training,Passenger
215000076,Training,Passenger
215000770,Training,Trawler
215075000,Training,Supply
215102000,Training,Tug
215190000,Training,Cargo/Tanker
215381000,Training,Cargo/Tanker
215391000,Training,Cargo/Tanker
215736000,Training,Cargo/Tanker
215739000,Test,Cargo/Tanker
215742000,Training,Passenger
215757000,Training,Supply
215929000,Test,Cargo/Tanker
215940000,Test,Tug
218023000,Training,Cargo/Tanker
218024000,Training,Cargo/Tanker
218087000,Test,Cargo/Tanker
218162000,Training,Trawler
218264000,Training,Trawler
218367000,Test,Trawler
218415000,Test,Cargo/Tanker
218760000,Training,Cargo/Tanker
218799000,Training,Trawler
218809000,Training,Tug
219000028,Test,Passenger
219000577,Training,Passenger
219000618,Training,Trawler
219001181,Training,Trawler
219001265,Training,Trawler
219001275,Training,Trawler
219001549,Training,Trawler
219001559,Training,Trawler
219001624,Training,Trawler
219001849,Test,Tug
219002023,Training,Trawler
219002147,Training,Passenger
219002251,Test,Trawler
219002827,Training,Trawler
219002881,Training,Trawler
219004242,Training,Trawler
219004307,Training,Trawler
219005583,Training,Trawler
219005954,Training,Trawler
219005968,Training,Trawler
219005997,Training,Trawler
219006005,Training,Trawler
219006382,Training,Trawler
219007034,Training,Trawler
219007036,Training,Trawler
219007269,Training,Trawler
219007314,Training,Trawler
219009274,Training,Trawler
219009599,Training,Trawler
219009907,Training,Trawler
219010531,Training,Passenger
219011629,Training,Tug
219012607,Training,Trawler
219013178,Test,Trawler
219013485,Training,Trawler
219014276,Test,Trawler
219014277,Training,Tug
219014764,Training,Passenger
219014851,Training,Trawler
219015338,Training,Trawler
219015849,Training,Passenger
219016144,Training,Tug
219016689,Training,Trawler
219016764,Training,Trawler
219017843,Training,Trawler
219018201,Training,Passenger
219018556,Training,Passenger
219018852,Test,Trawler
219019287,Training,Trawler
219019804,Test,Trawler
219020209,Test,Passenger
219020325,Test,Supply
219020520,Training,Supply
219020783,Training,Passenger
219021244,Training,Tug
219022000,Training,Trawler
219060000,Training,Purse seine
219063000,Training,Trawler
219081000,Test,Cargo/Tanker
219084000,Training,Cargo/Tanker
219106000,Training,Trawler
219108000,Training,Trawler
219157000,Test,Cargo/Tanker
219245000,Training,Cargo/Tanker
219248000,Training,Cargo/Tanker
219291000,Training,Cargo/Tanker
219328000,Training,Trawler
219376000,Training,Supply
219390000,Training,Supply
219398000,Training,Cargo/Tanker
219431000,Training,Cargo/Tanker
219435000,Training,Cargo/Tanker
219443000,Training,Trawler
219467000,Training,Trawler
219491000,Training,Passenger
219503000,Training,Trawler
219507000,Training,Trawler
219560000,Training,Passenger
219597000,Training,Trawler
219703000,Training,Supply
219709000,Training,Trawler
219716000,Training,Supply
219751000,Training,Trawler
219765000,Training,Trawler
219787000,Training,Trawler
219793000,Training,Trawler
219801000,Test,Trawler
219862000,Training,Trawler
219871000,Training,Trawler
219921000,Training,Trawler
219936000,Test,Trawler
220046000,Training,Trawler
220135000,Training,Trawler
220138000,Test,Trawler
220202000,Training,Trawler
220205000,Training,Trawler
220207000,Training,Cargo/Tanker
220213000,Training,Trawler
220216000,Training,Cargo/Tanker
220228000,Training,Trawler
220242000,Training,Trawler
220257000,Training,Trawler
220279000,Training,Trawler
220334000,Training,Trawler
220345000,Training,Trawler
220356000,Training,Trawler
220359000,Training,Trawler
220461000,Training,Purse seine
220463790,Training,Longliner
220476000,Training,Tug
220545000,Training,Cargo/Tanker
220596000,Test,Cargo/Tanker
220628000,Training,Trawler
222222222,Training,Longliner
224003530,Training,Purse seine
224003580,Training,Purse seine
224004420,Training,Purse seine
224004680,Training,Purse seine
224004720,Training,Purse seine
224004770,Training,Purse seine
224004800,Training,Purse seine
224005830,Test,Purse seine
224005870,Training,Purse seine
224006570,Training,Purse seine
224006950,Training,Trawler
224007840,Training,Trawler
224008640,Training,Purse seine
224009000,Training,Trawler
224009750,Training,Purse seine
224009840,Training,Purse seine
224009880,Training,Trawler
224010590,Training,Purse seine
224010730,Training,Trawler
224010990,Training,Purse seine
224011130,Training,Purse seine
224011990,Training,Longliner
224012660,Training,Purse seine
224012860,Training,Trawler
224012890,Test,Purse seine
224014850,Test,Purse seine
224015120,Test,Purse seine
224015220,Training,Purse seine
224015550,Training,Purse seine
224016000,Training,Longliner
224016530,Training,Longliner
224016630,Training,Purse seine
224016930,Test,Longliner
224017000,Training,Longliner
224017460,Training,Purse seine
224018260,Training,Purse seine
224018370,Training,Trawler
224018390,Training,Purse seine
224018440,Test,Longliner
224018460,Test,Purse seine
224018520,Test,Trawler
224018930,Training,Tug
224019630,Test,Purse seine
224019680,Training,Purse seine
224020000,Training,Longliner
224020170,Test,Longliner
224020230,Training,Longliner
224020390,Training,Purse seine
224020750,Training,Purse seine
224020790,Training,Longliner
224020840,Training,Purse seine
224020890,Training,Longliner
224020990,Test,Purse seine
224021340,Training,Purse seine
224021460,Test,Purse seine
224021550,Training,Purse seine
224021580,Training,Purse seine
224021640,Test,Purse seine
224021650,Training,Purse seine
224021940,Training,Purse seine
224022330,Test,Purse seine
224022490,Training,Purse seine
224022620,Training,Purse seine
224022730,Training,Purse seine
224022810,Training,Purse seine
224023480,Test,Purse seine
224023580,Training,Purse seine
224023970,Training,Purse seine
224024000,Training,Longliner
224024480,Training,Purse seine
224024540,Training,Purse seine
224025440,Training,Longliner
224025970,Training,Purse seine
224026780,Training,Purse seine
224026860,Training,Trawler
224027160,Training,Trawler
224028250,Training,Purse seine
224028550,Training,Purse seine
224029580,Test,Purse seine
224029760,Training,Longliner
224029830,Training,Purse seine
224030890,Training,Purse seine
224031680,Training,Purse seine
224031990,Training,Trawler
224032470,Training,Purse seine
224033380,Training,Purse seine
224040000,Training,Longliner
224040240,Training,Purse seine
224040260,Training,Purse seine
224040470,Training,Purse seine
224041540,Training,Purse seine
224042160,Training,Purse seine
224042740,Training,Purse seine
224042780,Test,Purse seine
224042880,Training,Purse seine
224043370,Training,Purse seine
224043560,Test,Longliner
224043730,Training,Trawler
224044170,Training,Trawler
224044870,Training,Longliner
224045150,Test,Trawler
224045260,Training,Longliner
224045880,Training,Purse seine
224045930,Training,Longliner
224046190,Training,Purse seine
224046360,Test,Purse seine
224047270,Training,Purse seine
224047990,Training,Longliner
224048150,Training,Longliner
224048840,Training,Purse seine
224048880,Training,Purse seine
224049260,Training,Purse seine
224049380,Training,Trawler
224049460,Training,Longliner
224049530,Training,Longliner
224049540,Training,Purse seine
224049630,Training,Longliner
224049650,Training,Purse seine
224049860,Training,Longliner
224050000,Training,Longliner
224050240,Test,Purse seine
224050560,Training,Purse seine
224050570,Training,Purse seine
224050850,Training,Purse seine
224051160,Test,Purse seine
224051190,Training,Trawler
224051350,Training,Longliner
224051560,Training,Purse seine
224051650,Training,Purse seine
224051690,Training,Trawler
224052350,Training,Purse seine
224052360,Training,Purse seine
224052380,Training,Longliner
224052460,Training,Purse seine
224052850,Training,Purse seine
224053530,Training,Purse seine
224054950,Training,Purse seine
224054990,Training,Trawler
224055240,Training,Longliner
224055450,Training,Purse seine
224055830,Training,Purse seine
224055940,Training,Trawler
224056170,Training,Purse seine
224056190,Training,Purse seine
224057000,Training,Trawler
224057370,Training,Longliner
224057890,Training,Purse seine
224059230,Test,Purse seine
224059860,Training,Purse seine
224060150,Test,Purse seine
224060680,Training,Purse seine
224060850,Training,Purse seine
224061430,Training,Purse seine
224063680,Training,Purse seine
224063780,Training,Purse seine
224065000,Training,Trawler
224065290,Training,Purse seine
224065430,Training,Trawler
224066580,Training,Longliner
224066630,Training,Trawler
224066650,Training,Trawler
224067130,Training,Longliner
224068000,Training,Longliner
224068340,Training,Trawler
224069130,Training,Longliner
224069550,Training,Purse seine
224069690,Test,Longliner
224069840,Training,Purse seine
224069850,Training,Purse seine
224069930,Training,Trawler
224069960,Training,Longliner
224069970,Training,Longliner
224070000,Training,Purse seine
224070140,Training,Trawler
224070150,Test,Trawler
224070170,Training,Trawler
224070490,Training,Trawler
224071000,Training,Longliner
224071730,Training,Trawler
224071880,Training,Trawler
224071980,Training,Purse seine
224072280,Training,Longliner
224072430,Training,Purse seine
224072470,Training,Purse seine
224072760,Training,Purse seine
224072890,Training,Trawler
224072990,Training,Purse seine
224073290,Training,Purse seine
224073460,Training,Purse seine
224073580,Training,Purse seine
224073630,Training,Purse seine
224073650,Training,Purse seine
224073660,Test,Trawler
224073960,Training,Purse seine
224074650,Training,Purse seine
224074740,Training,Trawler
224074890,Training,Purse seine
224074980,Training,Purse seine
224075190,Training,Purse seine
224075480,Training,Trawler
224075930,Training,Trawler
224076190,Training,Purse seine
224076360,Training,Trawler
224076970,Test,Purse seine
224077140,Training,Purse seine
224077240,Training,Purse seine
224077380,Training,Trawler
224077440,Training,Purse seine
224077590,Training,Purse seine
224078290,Training,Purse seine
224079240,Training,Purse seine
224079440,Training,Purse seine
224079840,Training,Purse seine
224080370,Training,Longliner
224080680,Training,Trawler
224080860,Test,Purse seine
224081130,Training,Longliner
224081430,Training,Longliner
224081690,Training,Longliner
224081790,Training,Longliner
224081840,Training,Longliner
224082260,Training,Longliner
224082360,Training,Trawler
224082850,Training,Purse seine
224082870,Training,Purse seine
224083520,Training,Purse seine
224083590,Training,Longliner
224084520,Training,Trawler
224085120,Training,Purse seine
224085130,Training,Trawler
224085250,Training,Purse seine
224085260,Training,Purse seine
224085290,Training,Trawler
224085560,Training,Purse seine
224086130,Training,Purse seine
224086630,Training,Trawler
224086740,Test,Purse seine
224086780,Training,Purse seine
224087000,Training,Trawler
224087260,Training,Purse seine
224087790,Training,Purse seine
224088000,Training,Purse seine
224088740,Training,Purse seine
224089000,Training,Purse seine
224089490,Training,Trawler
224090290,Training,Purse seine
224090880,Training,Purse seine
224092830,Training,Trawler
224092850,Training,Purse seine
224093320,Training,Trawler
224093450,Training,Trawler
224093750,Training,Trawler
224093890,Training,Trawler
224094520,Training,Longliner
224094570,Training,Trawler
224094770,Training,Longliner
224095240,Training,Purse seine
224095430,Training,Trawler
224095640,Training,Tug
224096480,Training,Trawler
224096580,Training,Trawler
224096770,Training,Purse seine
224096830,Training,Purse seine
224096840,Training,Longliner
224097670,Training,Trawler
224098250,Training,Longliner
224098420,Training,Longliner
224098760,Training,Purse seine
224098780,Training,Purse seine
224098930,Training,Purse seine
224099450,Training,Longliner
224099470,Training,Longliner
224099560,Test,Longliner
224100120,Training,Purse seine
224100160,Training,Purse seine
224100530,Training,Longliner
224100590,Training,Purse seine
224100920,Training,Purse seine
224101860,Training,Purse seine
224101940,Training,Longliner
224101950,Training,Longliner
224101970,Training,Purse seine
224101980,Training,Purse seine
224102000,Training,Purse seine
224102530,Test,Purse seine
224102850,Training,Trawler
224102950,Training,Purse seine
224103490,Training,Trawler
224103570,Training,Purse seine
224103720,Training,Trawler
224103750,Training,Purse seine
224103760,Training,Purse seine
224103970,Training,Longliner
224104170,Training,Trawler
224104340,Training,Purse seine
224104420,Training,Purse seine
224104450,Training,Purse seine
224104540,Training,Purse seine
224104640,Test,Purse seine
224104820,Training,Purse seine
224104960,Training,Purse seine
224105000,Training,Trawler
224105460,Training,Trawler
224105580,Training,Purse seine
224105890,Training,Purse seine
224106130,Training,Longliner
224106140,Training,Purse seine
224106240,Training,Trawler
224106260,Test,Purse seine
224106440,Training,Purse seine
224106650,Training,Purse seine
224106940,Training,Purse seine
224106950,Training,Purse seine
224107670,Training,Purse seine
224107960,Training,Trawler
224107990,Training,Purse seine
224108450,Training,Purse seine
224108670,Training,Purse seine
224110000,Training,Longliner
224110320,Training,Longliner
224111960,Training,Trawler
224113270,Training,Longliner
224114570,Training,Purse seine
224114650,Training,Purse seine
224114750,Training,Longliner
224114990,Training,Purse seine
224115790,Training,Purse seine
224115880,Test,Longliner
224116420,Training,Purse seine
224116790,Training,Purse seine
224117580,Training,Trawler
224118650,Training,Purse seine
224119550,Training,Purse seine
224120000,Training,Longliner
224120840,Training,Longliner
224120850,Training,Longliner
224121760,Training,Trawler
224122000,Test,Longliner
224123370,Training,Trawler
224124190,Training,Purse seine
224125140,Training,Trawler
224125920,Training,Trawler
224126630,Training,Trawler
224128930,Test,Purse seine
224129890,Training,Trawler
224130750,Training,Trawler
224130870,Training,Longliner
224131820,Test,Purse seine
224132000,Training,Longliner
224132850,Training,Purse seine
224133000,Training,Trawler
224133790,Training,Trawler
224134120,Training,Trawler
224134470,Training,Longliner
224134520,Training,Purse seine
224134550,Training,Trawler
224134690,Training,Trawler
224135000,Training,Longliner
224135340,Training,Trawler
224135590,Training,Trawler
224136470,Training,Purse seine
224136880,Training,Longliner
224137290,Training,Longliner
224137530,Training,Purse seine
224137770,Training,Purse seine
224137950,Training,Trawler
224138280,Training,Longliner
224138320,Training,Purse seine
224138660,Training,Purse seine
224138680,Training,Purse seine
224139370,Training,Trawler
224139780,Training,Purse seine
224140000,Training,Longliner
224141360,Training,Purse seine
224141830,Test,Purse seine
224141970,Training,Purse seine
224142870,Training,Longliner
224143730,Training,Longliner
224143830,Training,Purse seine
224143980,Training,Trawler
224144750,Training,Longliner
224146950,Test,Purse seine
224148120,Training,Trawler
224148470,Training,Purse seine
224149650,Training,Purse seine
224150820,Training,Purse seine
224151570,Training,Purse seine
224151870,Test,Trawler
224152000,Training,Cargo/Tanker
224152140,Training,Purse seine
224152340,Training,Longliner
224153130,Training,Longliner
224154000,Training,Longliner
224155590,Training,Purse seine
224155950,Training,Longliner
224156000,Training,Longliner
224156570,Training,Purse seine
224160000,Test,Longliner
224161140,Training,Longliner
224162880,Training,Purse seine
224162930,Training,Trawler
224163180,Training,Trawler
224163640,Training,Trawler
224169660,Training,Trawler
224170000,Training,Longliner
224171360,Training,Trawler
224172000,Training,Trawler
224172830,Training,Purse seine
224173000,Training,Longliner
224174930,Training,Purse seine
224174990,Test,Trawler
224175190,Training,Purse seine
224175430,Training,Longliner
224175790,Training,Trawler
224176230,Training,Trawler
224176370,Training,Longliner
224176380,Training,Purse seine
224176442,Training,Longliner
224177240,Training,Purse seine
224177460,Training,Purse seine
224178640,Training,Trawler
224178880,Training,Purse seine
224179000,Test,Tug
224180740,Training,Purse seine
224181290,Training,Trawler
224182180,Training,Trawler
224183670,Training,Longliner
224185220,Training,Longliner
224186000,Training,Longliner
224188000,Training,Longliner
224189000,Training,Longliner
224189260,Training,Purse seine
224189820,Training,Trawler
224190270,Training,Purse seine
224190680,Training,Purse seine
224192570,Training,Purse seine
224197150,Training,Longliner
224198440,Training,Purse seine
224204520,Training,Trawler
224205630,Training,Purse seine
224206830,Test,Trawler
224208290,Training,Longliner
224209590,Training,Trawler
224211440,Training,Trawler
224214440,Training,Trawler
224214550,Training,Trawler
224215230,Training,Purse seine
224217120,Training,Purse seine
224219000,Training,Tug
224220130,Training,Trawler
224220360,Training,Cargo/Tanker
224220670,Training,Purse seine
224221320,Training,Purse seine
224222760,Training,Purse seine
224223630,Training,Purse seine
224224106,Training,Purse seine
224225750,Training,Purse seine
224230530,Training,Purse seine
224230740,Training,Trawler
224231980,Training,Trawler
224233000,Training,Longliner
224233470,Training,Trawler
224234250,Training,Trawler
224234720,Training,Purse seine
224235000,Training,Trawler
224237180,Training,Purse seine
224241000,Training,Longliner
224245280,Training,Trawler
224249780,Training,Trawler
224250000,Training,Longliner
224253000,Training,Longliner
224256000,Training,Longliner
224256220,Training,Purse seine
224257190,Training,Passenger
224258570,Training,Trawler
224259000,Training,Longliner
224260750,Training,Trawler
224261000,Training,Longliner
224262260,Training,Purse seine
224264670,Training,Purse seine
224267000,Training,Longliner
224268000,Training,Longliner
224270370,Training,Purse seine
224271000,Training,Purse seine
224279670,Training,Purse seine
224286000,Training,Longliner
224288000,Training,Longliner
224290000,Test,Longliner
224290750,Training,Tug
224291000,Training,Purse seine
224292770,Training,Trawler
224295000,Training,Longliner
224299000,Training,Longliner
224306000,Training,Longliner
224308000,Training,Longliner
224313000,Training,Longliner
224313360,Training,Purse seine
224313420,Training,Trawler
224315860,Training,Purse seine
224318000,Training,Longliner
224320160,Training,Trawler
224322240,Training,Cargo/Tanker
224324980,Training,Trawler
224333460,Training,Purse seine
224335000,Training,Longliner
224337890,Test,Purse seine
224342000,Training,Longliner
224350690,Training,Tug
224353650,Training,Purse seine
224365000,Training,Cargo/Tanker
224366000,Training,Longliner
224368530,Test,Trawler
224368920,Training,Purse seine
224371000,Training,Longliner
224380000,Training,Longliner
224382970,Training,Trawler
224385000,Training,Longliner
224389000,Training,Trawler
224392000,Test,Longliner
224394000,Training,Trawler
224396270,Training,Purse seine
224405000,Training,Purse seine
224407000,Training,Longliner
224411380,Training,Trawler
224425770,Training,Purse seine
224431000,Training,Purse seine
224448260,Training,Purse seine
224452000,Training,Longliner
224456000,Test,Longliner
224457450,Training,Purse seine
224459000,Training,Longliner
224460000,Training,Purse seine
224468000,Training,Trawler
224472000,Training,Longliner
224473000,Training,Purse seine
224493000,Training,Tug
224501000,Training,Purse seine
224514000,Training,Trawler
224523000,Training,Purse seine
224531000,Training,Purse seine
224536000,Training,Trawler
224544160,Training,Longliner
224545000,Training,Longliner
224556000,Training,Longliner
224559000,Training,Trawler
224567000,Test,Trawler
224577000,Training,Longliner
224578000,Training,Longliner
224580000,Training,Purse seine
224581000,Training,Longliner
224586000,Test,Tug
224587000,Training,Purse seine
224591000,Training,Longliner
224594000,Test,Trawler
224597000,Training,Longliner
224609000,Training,Longliner
224615000,Training,Trawler
224619000,Training,Longliner
224622000,Training,Trawler
224623000,Training,Longliner
224626000,Training,Longliner
224651000,Training,Purse seine
224654000,Training,Longliner
224658000,Training,Longliner
224675000,Training,Passenger
224680000,Training,Purse seine
224687000,Training,Longliner
224696000,Training,Longliner
224709000,Training,Purse seine
224716000,Training,Purse seine
224717000,Training,Purse seine
224718000,Training,Tug
224721000,Training,Longliner
224727000,Training,Purse seine
224733000,Training,Purse seine
224745000,Training,Purse seine
224752000,Training,Longliner
224762000,Training,Longliner
224782000,Training,Purse seine
224816000,Training,Trawler
224819000,Training,Trawler
224854000,Training,Trawler
224859820,Training,Purse seine
224881000,Test,Longliner
224892000,Training,Longliner
224896000,Training,Purse seine
224905000,Training,Trawler
224906180,Training,Trawler
224906480,Training,Purse seine
224913000,Training,Longliner
224918000,Test,Longliner
224929000,Training,Longliner
224933000,Training,Longliner
224938000,Training,Longliner
224949000,Training,Purse seine
224980000,Training,Longliner
224987000,Training,Longliner
224992000,Training,Longliner
225309000,Training,Purse seine
225319000,Training,Longliner
225325000,Training,Longliner
225346000,Training,Tug
225374000,Training,Longliner
225414000,Training,Tug
225436000,Training,Trawler
225459000,Training,Purse seine
225980573,Training,Longliner
225983597,Training,Longliner
225983852,Training,Purse seine
226005000,Training,Pots and traps
226010000,Training,Trawler
226084000,Training,Pots and traps
226169000,Training,Purse seine
226177000,Training,Trawler
226178000,Training,Trawler
226180000,Training,Purse seine
