mmsi,dataset,label
205247090,Training,Cargo/Tanker
205247700,Test,Cargo/Tanker
205252690,Test,Tug/Pilot/Supply
205256290,Training,Cargo/Tanker
205258000,Test,Trawler
205258890,Test,Cargo/Tanker
205261000,Training,Trawler
205262000,Test,Trawler
205263390,Training,Cargo/Tanker
205264000,Training,Trawler
205264290,Training,Tug/Pilot/Supply
205265000,Training,Trawler
205267669,Test,Cargo/Tanker
205269000,Training,Trawler
205269190,Test,Passenger
205271000,Test,Trawler
205272000,Training,Trawler
205273990,Test,Tug/Pilot/Supply
205275000,Training,Trawler
205277000,Training,Trawler
205281000,Test,Trawler
205284000,Training,Trawler
205284690,Test,Cargo/Tanker
205284990,Training,Cargo/Tanker
205285000,Training,Trawler
205285590,Training,Cargo/Tanker
205286000,Training,Trawler
205286790,Training,Cargo/Tanker
205289990,Training,Cargo/Tanker
205291000,Test,Trawler
205293000,Training,Trawler
205293390,Training,Cargo/Tanker
205294000,Test,Trawler
205295690,Training,Cargo/Tanker
205296000,Test,Trawler
205298990,Training,Cargo/Tanker
205300000,Training,Tug/Pilot/Supply
205300690,Test,Cargo/Tanker
205301290,Training,Cargo/Tanker
205303000,Test,Trawler
205306000,Training,Trawler
205308000,Test,Trawler
205311190,Training,Cargo/Tanker
205315000,Training,Trawler
205316000,Training,Trawler
205320000,Training,Trawler
205321000,Training,Trawler
205322000,Test,Trawler
205323000,Test,Trawler
205325000,Training,Trawler
205325390,Test,Cargo/Tanker
205327000,Test,Trawler
205328000,Test,Trawler
205333000,Training,Trawler
205334890,Training,Cargo/Tanker
205335490,Training,Cargo/Tanker
205336000,Training,Trawler
205338490,Training,Cargo/Tanker
205340000,Training,Tug/Pilot/Supply
205340890,Training,Cargo/Tanker
205344390,Training,Cargo/Tanker
205346000,Training,Trawler
205346790,Test,Cargo/Tanker
205347300,Training,Cargo/Tanker
205349890,Training,Cargo/Tanker
205351390,Training,Cargo/Tanker
205356700,Test,Cargo/Tanker
205360090,Training,Tug/Pilot/Supply
205360290,Training,Cargo/Tanker
205361390,Test,Cargo/Tanker
205364790,Training,Cargo/Tanker
205364990,Training,Cargo/Tanker
205369090,Training,Cargo/Tanker
205369390,Training,Cargo/Tanker
205370590,Training,Cargo/Tanker
205372190,Test,Cargo/Tanker
205372490,Test,Cargo/Tanker
205381890,Test,Cargo/Tanker
205390790,Test,Cargo/Tanker
205391990,Test,Cargo/Tanker
205393000,Training,Tug/Pilot/Supply
205393190,Training,Cargo/Tanker
205394390,Test,Cargo/Tanker
205396000,Training,Cargo/Tanker
205397000,Training,Cargo/Tanker
205400000,Test,Cargo/Tanker
205402090,Training,Cargo/Tanker
205402790,Test,Cargo/Tanker
205414000,Test,Tug/Pilot/Supply
205415000,Training,Tug/Pilot/Supply
205415690,Test,Cargo/Tanker
205416000,Training,Tug/Pilot/Supply
205417000,Training,Tug/Pilot/Supply
205419690,Training,Cargo/Tanker
205421290,Training,Cargo/Tanker
205423290,Test,Cargo/Tanker
205434190,Test,Cargo/Tanker
205435990,Test,Cargo/Tanker
205448890,Test,Cargo/Tanker
205450000,Test,Cargo/Tanker
205450690,Training,Cargo/Tanker
205451000,Training,Cargo/Tanker
205452000,Test,Passenger
205452690,Training,Cargo/Tanker
205453000,Test,Cargo/Tanker
205453690,Test,Cargo/Tanker
205454000,Training,Tug/Pilot/Supply
205455590,Test,Cargo/Tanker
205457590,Test,Cargo/Tanker
205461000,Test,Cargo/Tanker
205462000,Test,Cargo/Tanker
205464990,Training,Cargo/Tanker
205466000,Training,Tug/Pilot/Supply
205469190,Test,Cargo/Tanker
205471090,Test,Cargo/Tanker
205475000,Training,Tug/Pilot/Supply
205475290,Training,Cargo/Tanker
205476000,Training,Cargo/Tanker
205476390,Training,Cargo/Tanker
205477290,Training,Cargo/Tanker
205480000,Test,Passenger
205483000,Training,Tug/Pilot/Supply
205484000,Training,Tug/Pilot/Supply
205488290,Test,Cargo/Tanker
205490090,Training,Cargo/Tanker
205491290,Test,Cargo/Tanker
205492690,Training,Cargo/Tanker
205495690,Test,Cargo/Tanker
205498490,Test,Cargo/Tanker
205501290,Training,Cargo/Tanker
205502390,Test,Cargo/Tanker
205503990,Training,Cargo/Tanker
205504390,Training,Cargo/Tanker
205505090,Training,Cargo/Tanker
205505590,Training,Cargo/Tanker
205505790,Training,Cargo/Tanker
205508590,Training,Cargo/Tanker
205509000,Test,Cargo/Tanker
205509290,Test,Cargo/Tanker
205513890,Training,Cargo/Tanker
205513990,Test,Cargo/Tanker
205514990,Training,Cargo/Tanker
205515190,Test,Cargo/Tanker
205519000,Training,Cargo/Tanker
205532000,Training,Trawler
205539000,Training,Cargo/Tanker
205541000,Training,Tug/Pilot/Supply
205545000,Training,Tug/Pilot/Supply
205546000,Test,Tug/Pilot/Supply
205548000,Test,Cargo/Tanker
205558000,Test,Tug/Pilot/Supply
205565000,Test,Tug/Pilot/Supply
205566000,Training,Tug/Pilot/Supply
205575000,Test,Tug/Pilot/Supply
205586000,Test,Tug/Pilot/Supply
205595000,Training,Tug/Pilot/Supply
205596910,Test,Passenger
205600000,Training,Passenger
205618000,Test,Tug/Pilot/Supply
205619000,Training,Tug/Pilot/Supply
205621000,Training,Tug/Pilot/Supply
205626000,Training,Tug/Pilot/Supply
205627000,Test,Tug/Pilot/Supply
205628000,Test,Tug/Pilot/Supply
205632000,Test,Trawler
205634000,Training,Tug/Pilot/Supply
205636000,Training,Tug/Pilot/Supply
205642000,Training,Tug/Pilot/Supply
205644000,Test,Tug/Pilot/Supply
205831310,Training,Passenger
207133000,Training,Cargo/Tanker
207293000,Test,Trawler
207420000,Test,Trawler
207421000,Test,Trawler
207422000,Test,Trawler
207424000,Test,Trawler
207426000,Test,Trawler
207428000,Training,Trawler
207822570,Test,Trawler
207822650,Test,Trawler
207822660,Test,Trawler
207827320,Training,Trawler
207827350,Test,Trawler
207827790,Training,Trawler
207827920,Training,Trawler
207829360,Training,Trawler
207832280,Test,Trawler
207882640,Test,Trawler
209032000,Test,Cargo/Tanker
209047000,Test,Cargo/Tanker
209086000,Test,Cargo/Tanker
209108000,Training,Seismic
209177000,Training,Cargo/Tanker
209187000,Training,Cargo/Tanker
209188000,Test,Cargo/Tanker
209191000,Training,Cargo/Tanker
209204000,Training,Cargo/Tanker
209212000,Training,Trawler
209232000,Training,Longliner
209243000,Training,Cargo/Tanker
209250000,Training,Cargo/Tanker
209300000,Test,Cargo/Tanker
209322000,Test,Cargo/Tanker
209353000,Training,Trawler
209355000,Training,Cargo/Tanker
209361000,Test,Cargo/Tanker
209380000,Training,Cargo/Tanker
209394000,Training,Cargo/Tanker
209465000,Training,Longliner
209486000,Training,Cargo/Tanker
209499000,Training,Trawler
209587000,Training,Seismic
209605000,Test,Cargo/Tanker
209627000,Training,Cargo/Tanker
209632000,Training,Cargo/Tanker
209694000,Training,Cargo/Tanker
209719000,Test,Cargo/Tanker
209724000,Training,Cargo/Tanker
209745000,Training,Cargo/Tanker
209777000,Training,Cargo/Tanker
209792000,Test,Cargo/Tanker
209817000,Training,Cargo/Tanker
209819000,Training,Cargo/Tanker
209840000,Training,Cargo/Tanker
209854000,Training,Cargo/Tanker
209933000,Test,Cargo/Tanker
209979000,Training,Cargo/Tanker
210001000,Test,Cargo/Tanker
210008000,Training,Cargo/Tanker
210035000,Training,Cargo/Tanker
210122000,Training,Cargo/Tanker
210137000,Test,Cargo/Tanker
210193000,Training,Longliner
210228000,Training,Seismic
210261000,Test,Cargo/Tanker
210282000,Test,Cargo/Tanker
210333000,Test,Cargo/Tanker
210347000,Training,Cargo/Tanker
210380000,Test,Trawler
210409000,Training,Cargo/Tanker
210412000,Training,Cargo/Tanker
210439000,Training,Cargo/Tanker
210449000,Test,Cargo/Tanker
210452000,Test,Cargo/Tanker
210460000,Test,Longliner
210473000,Training,Cargo/Tanker
210479000,Test,Cargo/Tanker
210505000,Training,Cargo/Tanker
210582000,Test,Seismic
210595000,Training,Cargo/Tanker
210713000,Training,Cargo/Tanker
210716000,Training,Cargo/Tanker
210732000,Test,Trawler
210786000,Test,Cargo/Tanker
210894000,Training,Cargo/Tanker
210916000,Test,Cargo/Tanker
211104000,Training,Trawler
211118960,Training,Passenger
211123610,Training,Passenger
211131000,Training,Trawler
211140000,Training,Cargo/Tanker
211141000,Test,Cargo/Tanker
211149170,Test,Passenger
211149890,Training,Cargo/Tanker
211152000,Test,Trawler
211154000,Training,Trawler
211155000,Test,Trawler
211156000,Training,Trawler
211157000,Training,Trawler
211158000,Training,Trawler
211159000,Training,Trawler
211161000,Training,Trawler
211162000,Training,Trawler
211163700,Training,Cargo/Tanker
211164000,Test,Trawler
211166000,Training,Trawler
211168000,Training,Trawler
211170000,Training,Trawler
211174000,Training,Trawler
211174890,Test,Passenger
211176000,Test,Trawler
211178650,Training,Cargo/Tanker
211180000,Training,Trawler
211180740,Test,Cargo/Tanker
211180750,Test,Cargo/Tanker
211182000,Training,Trawler
211187000,Test,Trawler
211187040,Training,Cargo/Tanker
211189490,Training,Passenger
211191000,Training,Trawler
211196000,Training,Trawler
211198000,Training,Trawler
211199000,Test,Trawler
211202770,Training,Cargo/Tanker
211206910,Training,Passenger
211207270,Training,Trawler
211207760,Test,Cargo/Tanker
211212630,Test,Cargo/Tanker
211214200,Training,Trawler
211214670,Training,Cargo/Tanker
211214990,Test,Trawler
211216660,Training,Cargo/Tanker
211221440,Training,Cargo/Tanker
211224560,Training,Cargo/Tanker
211225410,Training,Cargo/Tanker
211226860,Training,Cargo/Tanker
211227510,Training,Trawler
211228200,Test,Cargo/Tanker
211231300,Test,Cargo/Tanker
211232180,Training,Passenger
211232350,Training,Cargo/Tanker
211232810,Test,Trawler
211234480,Training,Cargo/Tanker
211235880,Training,Cargo/Tanker
211238930,Training,Trawler
211241240,Training,Trawler
211243240,Training,Trawler
211245680,Training,Trawler
211245890,Test,Trawler
211256380,Training,Cargo/Tanker
211259270,Training,Trawler
211265530,Test,Cargo/Tanker
211265640,Training,Trawler
211267780,Training,Trawler
211270480,Training,Trawler
211271330,Training,Trawler
211272400,Test,Trawler
211279120,Training,Trawler
211280810,Test,Cargo/Tanker
211282560,Test,Trawler
211284350,Training,Cargo/Tanker
211286380,Test,Cargo/Tanker
211286440,Training,Cargo/Tanker
211286500,Training,Cargo/Tanker
211287590,Training,Trawler
211288860,Test,Trawler
211290000,Training,Trawler
211292280,Training,Trawler
211298640,Training,Trawler
211305290,Training,Cargo/Tanker
211307520,Training,Trawler
211310410,Test,Trawler
211312240,Test,Trawler
211313780,Test,Trawler
211314600,Training,Trawler
211314800,Training,Trawler
211314880,Training,Trawler
211314890,Training,Trawler
211314990,Test,Trawler
211315220,Test,Trawler
211315540,Training,Trawler
211315620,Training,Trawler
211315630,Training,Trawler
211315750,Test,Trawler
211315870,Training,Pots and traps
211316900,Training,Trawler
211317180,Test,Cargo/Tanker
211317290,Test,Trawler
211317420,Test,Passenger
211317720,Training,Trawler
211318730,Training,Trawler
211319400,Training,Trawler
211319670,Test,Trawler
211320460,Test,Trawler
211325200,Training,Trawler
211325290,Training,Trawler
211327930,Test,Passenger
211332630,Training,Trawler
211332750,Training,Trawler
211335760,Test,Cargo/Tanker
211339490,Training,Trawler
211341030,Test,Passenger
211342400,Test,Trawler
211344000,Test,Trawler
211351000,Test,Trawler
211363240,Test,Passenger
211363350,Test,Cargo/Tanker
211365280,Test,Trawler
211370000,Test,Trawler
211372620,Training,Cargo/Tanker
211373830,Test,Trawler
211376000,Training,Trawler
211378110,Training,Cargo/Tanker
211386440,Training,Trawler
211389510,Training,Trawler
211390480,Training,Trawler
211392000,Training,Trawler
211394200,Training,Cargo/Tanker
211400000,Training,Trawler
211402250,Training,Trawler
211402270,Training,Trawler
211403000,Training,Trawler
211410690,Test,Trawler
211411630,Test,Trawler
211411940,Training,Trawler
211414290,Test,Trawler
211415000,Training,Trawler
211416000,Test,Trawler
211420000,Training,Trawler
211421000,Training,Trawler
211424450,Test,Cargo/Tanker
211426000,Training,Trawler
211427000,Training,Trawler
211434550,Training,Cargo/Tanker
211438440,Test,Trawler
211439370,Training,Cargo/Tanker
211440000,Training,Trawler
211455300,Training,Cargo/Tanker
211458000,Training,Trawler
211459000,Test,Trawler
211462000,Training,Trawler
211468560,Training,Cargo/Tanker
211469000,Training,Trawler
211471880,Training,Cargo/Tanker
211474000,Test,Trawler
211476000,Test,Trawler
211476600,Test,Cargo/Tanker
211477000,Training,Trawler
211477410,Training,Cargo/Tanker
211477480,Training,Passenger
211483000,Training,Trawler
211483620,Training,Trawler
211484000,Test,Trawler
211485080,Training,Passenger
211485840,Test,Passenger
211486000,Test,Trawler
211489000,Test,Trawler
211490000,Training,Trawler
211492000,Training,Trawler
211492530,Training,Cargo/Tanker
211493000,Training,Trawler
211493410,Training,Cargo/Tanker
211493420,Training,Cargo/Tanker
211493450,Test,Cargo/Tanker
211495000,Training,Trawler
211501000,Training,Trawler
211502000,Training,Trawler
211504860,Training,Passenger
211505000,Training,Trawler
211507000,Test,Trawler
211507500,Test,Cargo/Tanker
211510290,Training,Trawler
211510910,Training,Cargo/Tanker
211511160,Test,Cargo/Tanker
211511750,Training,Cargo/Tanker
211511770,Test,Cargo/Tanker
211511920,Training,Cargo/Tanker
211513250,Training,Cargo/Tanker
211515000,Training,Trawler
211515210,Training,Cargo/Tanker
211515230,Training,Cargo/Tanker
211516000,Training,Trawler
211516260,Test,Trawler
211516530,Training,Trawler
211517000,Training,Cargo/Tanker
211517060,Test,Cargo/Tanker
211517200,Test,Trawler
211517230,Training,Trawler
211517250,Test,Trawler
211517600,Training,Cargo/Tanker
211517810,Test,Trawler
211519000,Training,Trawler
211520710,Training,Trawler
211521000,Training,Trawler
211522000,Training,Trawler
211523910,Training,Cargo/Tanker
211524000,Test,Trawler
211526000,Training,Trawler
211526530,Training,Passenger
211527000,Training,Trawler
211528000,Training,Trawler
211530000,Training,Trawler
211532000,Test,Trawler
211535000,Training,Trawler
211535140,Test,Trawler
211537960,Training,Cargo/Tanker
211544000,Training,Trawler
211544210,Training,Cargo/Tanker
211545000,Training,Trawler
211546000,Training,Trawler
211546580,Training,Cargo/Tanker
211549530,Training,Cargo/Tanker
211550000,Training,Trawler
211551000,Training,Trawler
211552000,Test,Trawler
211555000,Training,Trawler
211555730,Test,Cargo/Tanker
211555980,Training,Cargo/Tanker
211559000,Test,Trawler
211561000,Test,Trawler
211563000,Training,Trawler
211565000,Test,Trawler
211569350,Test,Passenger
211569800,Training,Passenger
211580000,Training,Cargo/Tanker
211586000,Training,Trawler
211587000,Training,Trawler
211588200,Test,Passenger
211588480,Training,Trawler
211590050,Test,Cargo/Tanker
211593750,Training,Trawler
211595000,Training,Trawler
211599000,Training,Trawler
211605000,Training,Trawler
211607000,Training,Trawler
211608000,Test,Trawler
211611000,Training,Cargo/Tanker
211615410,Test,Passenger
211617890,Training,Passenger
211618000,Training,Trawler
211623000,Test,Trawler
211625000,Test,Trawler
211626000,Training,Trawler
211631000,Training,Cargo/Tanker
211639000,Training,Trawler
211647800,Training,Trawler
211651000,Training,Cargo/Tanker
211651620,Test,Trawler
211653680,Test,Trawler
211658000,Training,Trawler
211666580,Test,Passenger
211667000,Training,Trawler
211667030,Training,Trawler
211670320,Test,Trawler
211671000,Training,Trawler
211671890,Training,Trawler
211676120,Training,Passenger
211679730,Test,Trawler
211680250,Test,Trawler
211691000,Test,Cargo/Tanker
211693000,Training,Cargo/Tanker
211699000,Test,Trawler
211728000,Test,Cargo/Tanker
211738000,Test,Cargo/Tanker
211771000,Training,Cargo/Tanker
211793000,Training,Trawler
211809000,Test,Cargo/Tanker
211815000,Training,Trawler
211824000,Training,Trawler
211855000,Training,Cargo/Tanker
212008000,Training,Cargo/Tanker
212037000,Test,Cargo/Tanker
212048000,Training,Cargo/Tanker
212068000,Training,Cargo/Tanker
212089000,Training,Cargo/Tanker
212109000,Training,Cargo/Tanker
212121212,Test,Longliner
212126000,Training,Cargo/Tanker
212157000,Test,Cargo/Tanker
212172000,Test,Cargo/Tanker
212204000,Test,Cargo/Tanker
212236000,Training,Cargo/Tanker
212250000,Training,Cargo/Tanker
212258000,Training,Cargo/Tanker
212275000,Test,Cargo/Tanker
212280000,Test,Cargo/Tanker
212344000,Test,Cargo/Tanker
212362000,Training,Cargo/Tanker
212375000,Training,Cargo/Tanker
212400000,Training,Cargo/Tanker
212422000,Training,Cargo/Tanker
212586000,Training,Cargo/Tanker
212602000,Test,Cargo/Tanker
212636000,Training,Cargo/Tanker
212644000,Training,Cargo/Tanker
212675000,Training,Cargo/Tanker
212706000,Test,Cargo/Tanker
212711000,Training,Cargo/Tanker
212723000,Training,Cargo/Tanker
212735000,Test,Cargo/Tanker
212808000,Training,Cargo/Tanker
212865000,Training,Cargo/Tanker
212871000,Training,Cargo/Tanker
212882000,Training,Cargo/Tanker
212899000,Training,Trawler
212925000,Training,Cargo/Tanker
212946000,Test,Cargo/Tanker
212947000,Test,Cargo/Tanker
212949000,Training,Cargo/Tanker
214181615,Test,Cargo/Tanker
215000770,Test,Trawler
215000780,Test,Trawler
215064000,Test,Cargo/Tanker
215083000,Training,Cargo/Tanker
215120000,Test,Cargo/Tanker
215190000,Training,Cargo/Tanker
215242000,Test,Cargo/Tanker
215308000,Training,Passenger
215381000,Training,Cargo/Tanker
215391000,Training,Cargo/Tanker
215439000,Training,Cargo/Tanker
215520000,Test,Cargo/Tanker
215522000,Test,Cargo/Tanker
215631000,Test,Cargo/Tanker
215736000,Training,Cargo/Tanker
215739000,Test,Cargo/Tanker
215740000,Training,Cargo/Tanker
215772000,Training,Cargo/Tanker
215795000,Training,Cargo/Tanker
215929000,Test,Cargo/Tanker
215953000,Training,Cargo/Tanker
215964000,Test,Cargo/Tanker
218007000,Training,Trawler
218023000,Training,Cargo/Tanker
218024000,Training,Cargo/Tanker
218025000,Training,Cargo/Tanker
218066000,Training,Trawler
218082000,Test,Cargo/Tanker
218087000,Test,Cargo/Tanker
218098000,Training,Cargo/Tanker
218104000,Test,Trawler
218125000,Test,Trawler
218132000,Test,Cargo/Tanker
218140000,Test,Trawler
218162000,Test,Trawler
218264000,Training,Trawler
218299000,Test,Trawler
218325000,Test,Trawler
218359000,Test,Trawler
218363000,Training,Trawler
218367000,Test,Trawler
218415000,Test,Cargo/Tanker
218442000,Test,Trawler
218509000,Training,Cargo/Tanker
218556000,Training,Trawler
218627000,Test,Cargo/Tanker
218649000,Test,Cargo/Tanker
218744000,Test,Cargo/Tanker
218760000,Test,Cargo/Tanker
218764000,Training,Cargo/Tanker
218777000,Training,Cargo/Tanker
218799000,Test,Trawler
219000612,Training,Cargo/Tanker
219000617,Training,Trawler
219000618,Training,Trawler
219000737,Training,Cargo/Tanker
219000855,Training,Trawler
219000895,Training,Trawler
219000897,Test,Trawler
219001039,Test,Trawler
219001125,Test,Trawler
219001149,Training,Trawler
219001181,Training,Trawler
219001189,Test,Trawler
219001265,Training,Trawler
219001275,Test,Trawler
219001343,Training,Trawler
219001518,Training,Trawler
219001522,Training,Trawler
219001549,Test,Trawler
219001559,Training,Trawler
219001624,Training,Trawler
219001664,Training,Trawler
219001976,Test,Trawler
219002005,Test,Trawler
219002023,Training,Trawler
219002047,Test,Trawler
219002051,Training,Trawler
219002149,Test,Trawler
219002157,Test,Trawler
219002251,Test,Trawler
219002368,Test,Trawler
219002409,Test,Trawler
219002506,Training,Trawler
219002585,Test,Trawler
219002827,Test,Trawler
219002838,Training,Trawler
219002881,Training,Trawler
219003452,Training,Cargo/Tanker
219003966,Training,Cargo/Tanker
219004043,Test,Trawler
219004128,Training,Trawler
219004161,Test,Trawler
219004242,Training,Trawler
219004264,Test,Trawler
219004307,Training,Trawler
219004472,Training,Trawler
219004473,Test,Trawler
219005286,Test,Trawler
219005502,Test,Trawler
219005583,Training,Trawler
219005659,Training,Trawler
219005863,Training,Trawler
219005867,Training,Trawler
219005878,Test,Trawler
219005921,Test,Trawler
219005941,Training,Trawler
219005954,Test,Trawler
219005964,Training,Trawler
219005968,Training,Trawler
219005997,Training,Trawler
219006005,Test,Trawler
219006023,Training,Trawler
219006092,Training,Trawler
219006111,Test,Trawler
219006116,Training,Trawler
219006157,Test,Trawler
219006382,Test,Trawler
219006655,Training,Trawler
219006824,Training,Trawler
219006835,Test,Trawler
219006971,Training,Trawler
219007027,Training,Trawler
219007034,Training,Trawler
219007036,Test,Trawler
219007234,Test,Trawler
219007235,Training,Trawler
219007269,Test,Trawler
219007314,Training,Trawler
219007432,Test,Trawler
219007944,Training,Trawler
219008474,Test,Trawler
219008927,Test,Trawler
219009041,Training,Trawler
219009229,Training,Trawler
219009244,Test,Trawler
219009274,Training,Trawler
219009413,Training,Trawler
219009415,Training,Trawler
219009599,Training,Trawler
219009738,Training,Trawler
219009907,Training,Trawler
219009961,Training,Trawler
219010252,Test,Cargo/Tanker
219010531,Test,Passenger
219010989,Training,Trawler
219011032,Test,Trawler
219011225,Training,Trawler
219011321,Test,Trawler
219011325,Test,Trawler
219011409,Training,Passenger
219011867,Training,Trawler
219012276,Training,Trawler
219012607,Training,Trawler
219012671,Training,Trawler
219012713,Training,Passenger
219013001,Test,Trawler
219013178,Test,Trawler
219013485,Test,Trawler
219013538,Test,Trawler
219013539,Training,Trawler
219013966,Test,Trawler
219014049,Training,Trawler
219014161,Training,Trawler
219014276,Test,Trawler
219014851,Training,Trawler
219015103,Training,Trawler
219015338,Training,Trawler
219015362,Test,Trawler
219015617,Test,Trawler
219016689,Test,Trawler
219016764,Training,Trawler
219016971,Training,Trawler
219017525,Training,Passenger
219017843,Test,Trawler
219017895,Training,Trawler
219018405,Training,Trawler
219018852,Test,Trawler
219019093,Test,Trawler
219019287,Training,Trawler
219019555,Training,Trawler
219019804,Test,Trawler
219020304,Test,Trawler
219020578,Test,Trawler
219020634,Training,Trawler
219022000,Training,Trawler
219024000,Training,Trawler
219060000,Training,Purse seine
219063000,Test,Trawler
219081000,Test,Cargo/Tanker
219084000,Training,Cargo/Tanker
219106000,Training,Trawler
219108000,Training,Trawler
219117000,Test,Cargo/Tanker
219119000,Test,Cargo/Tanker
219121000,Training,Trawler
219132000,Training,Cargo/Tanker
219138000,Training,Trawler
219139000,Training,Trawler
219140000,Training,Trawler
219157000,Test,Cargo/Tanker
219168000,Training,Trawler
219176000,Test,Trawler
219188000,Training,Trawler
219218000,Training,Trawler
219220000,Test,Trawler
219240000,Test,Trawler
219245000,Training,Cargo/Tanker
219248000,Test,Cargo/Tanker
219257000,Training,Trawler
219269000,Training,Cargo/Tanker
219271000,Test,Trawler
219291000,Training,Cargo/Tanker
219292000,Test,Cargo/Tanker
219294000,Training,Trawler
219318000,Test,Cargo/Tanker
219328000,Training,Trawler
219330000,Test,Trawler
219340000,Test,Trawler
219363000,Test,Cargo/Tanker
219398000,Test,Cargo/Tanker
219414000,Training,Cargo/Tanker
219421000,Training,Trawler
219424000,Training,Trawler
219430000,Training,Cargo/Tanker
219431000,Training,Cargo/Tanker
219435000,Training,Cargo/Tanker
219437000,Test,Cargo/Tanker
219439000,Test,Trawler
219443000,Test,Trawler
219446000,Training,Trawler
219455000,Training,Cargo/Tanker
219467000,Test,Trawler
219481000,Training,Trawler
219488000,Test,Cargo/Tanker
219493000,Training,Trawler
219503000,Training,Trawler
219507000,Training,Trawler
219536000,Training,Trawler
219597000,Test,Trawler
219633000,Training,Trawler
219675000,Training,Cargo/Tanker
219689000,Training,Trawler
219697000,Training,Trawler
219709000,Test,Trawler
219740000,Test,Trawler
219743000,Test,Trawler
219751000,Training,Trawler
219754000,Training,Trawler
219765000,Training,Trawler
219787000,Training,Trawler
219793000,Training,Trawler
219796000,Training,Trawler
219801000,Test,Trawler
219862000,Training,Trawler
219867000,Training,Trawler
219871000,Training,Trawler
219882000,Training,Cargo/Tanker
219904000,Training,Trawler
219921000,Training,Trawler
219936000,Test,Trawler
219948000,Training,Trawler
219956000,Training,Trawler
219959000,Training,Trawler
220002000,Training,Cargo/Tanker
220012000,Test,Trawler
220032000,Training,Trawler
220038000,Training,Trawler
220042000,Training,Trawler
220043000,Training,Trawler
220046000,Training,Trawler
220073000,Training,Trawler
220076000,Test,Trawler
220088000,Training,Trawler
220099000,Training,Trawler
220109000,Training,Trawler
220125000,Training,Cargo/Tanker
220127000,Test,Trawler
220128000,Training,Trawler
220135000,Test,Trawler
220137000,Test,Trawler
220138000,Test,Trawler
220142000,Training,Trawler
220151000,Training,Trawler
220166000,Test,Trawler
220182000,Training,Trawler
220198000,Training,Cargo/Tanker
220202000,Training,Trawler
220204000,Training,Trawler
220205000,Training,Trawler
220207000,Training,Cargo/Tanker
220213000,Training,Trawler
220216000,Training,Cargo/Tanker
