mmsi,fishing,label,sublabel,length,tonnage,list_sources
203441100,Non-fishing,Passenger,,,,itu_nonfishing
203441300,Non-fishing,Passenger,,,,itu_nonfishing
203442100,Non-fishing,Passenger,,,,itu_nonfishing
203442300,Non-fishing,Passenger,,,,itu_nonfishing
203444300,Non-fishing,Passenger,,,,itu_nonfishing
203445300,Non-fishing,Passenger,,,,itu_nonfishing
203446300,Non-fishing,Passenger,,,,itu_nonfishing
203452300,Non-fishing,Passenger,,,,itu_nonfishing
203453300,Non-fishing,Passenger,,,,itu_nonfishing
203458400,Non-fishing,Passenger,,,,itu_nonfishing
203459300,Non-fishing,Passenger,,,,itu_nonfishing
203461300,Non-fishing,Passenger,,,,itu_nonfishing
203464300,Non-fishing,Passenger,,,,itu_nonfishing
203466400,Non-fishing,Passenger,,,,itu_nonfishing
203467400,Non-fishing,Passenger,,,,itu_nonfishing
203469400,Non-fishing,Passenger,,,,itu_nonfishing
203472400,Non-fishing,Passenger,,,,itu_nonfishing
203473400,Non-fishing,Passenger,,,,itu_nonfishing
203474400,Non-fishing,Passenger,,,,itu_nonfishing
203475400,Non-fishing,Passenger,,,,itu_nonfishing
203478400,Non-fishing,Passenger,,,,itu_nonfishing
203479300,Non-fishing,Passenger,,,,itu_nonfishing
203481300,Non-fishing,Passenger,,,,itu_nonfishing
203483300,Non-fishing,Passenger,,,,itu_nonfishing
203484300,Non-fishing,Passenger,,,,itu_nonfishing
203485300,Non-fishing,Passenger,,,,itu_nonfishing
203486300,Non-fishing,Passenger,,,,itu_nonfishing
203486400,Non-fishing,Passenger,,,,itu_nonfishing
203487300,Non-fishing,Passenger,,,,itu_nonfishing
203489300,Non-fishing,Passenger,,,,itu_nonfishing
203505400,Non-fishing,Passenger,,,,itu_nonfishing
203533200,Non-fishing,Passenger,,,,itu_nonfishing
203541400,Non-fishing,Passenger,,,,itu_nonfishing
203548200,Non-fishing,Passenger,,,,itu_nonfishing
203552400,Non-fishing,Passenger,,,,itu_nonfishing
203570200,Non-fishing,Passenger,,,,itu_nonfishing
203577400,Non-fishing,Passenger,,,,itu_nonfishing
203609200,Non-fishing,Passenger,,,,itu_nonfishing
203617400,Non-fishing,Passenger,,,,itu_nonfishing
203623400,Non-fishing,Passenger,,,,itu_nonfishing
203638400,Non-fishing,Passenger,,,,itu_nonfishing
203645400,Non-fishing,Passenger,,,,itu_nonfishing
203646400,Non-fishing,Passenger,,,,itu_nonfishing
203647400,Non-fishing,Passenger,,,,itu_nonfishing
203649400,Non-fishing,Passenger,,,,itu_nonfishing
203653200,Non-fishing,Passenger,,,,itu_nonfishing
203653400,Non-fishing,Passenger,,,,itu_nonfishing
203654400,Non-fishing,Passenger,,,,itu_nonfishing
203655400,Non-fishing,Passenger,,,,itu_nonfishing
203658400,Non-fishing,Passenger,,,,itu_nonfishing
203659400,Non-fishing,Passenger,,,,itu_nonfishing
203660200,Non-fishing,Passenger,,,,itu_nonfishing
203662400,Non-fishing,Passenger,,,,itu_nonfishing
203664400,Non-fishing,Passenger,,,,itu_nonfishing
203667400,Non-fishing,Passenger,,,,itu_nonfishing
203668400,Non-fishing,Passenger,,,,itu_nonfishing
203671400,Non-fishing,Passenger,,,,itu_nonfishing
203674400,Non-fishing,Passenger,,,,itu_nonfishing
203676400,Non-fishing,Passenger,,,,itu_nonfishing
203678400,Non-fishing,Passenger,,,,itu_nonfishing
203681400,Non-fishing,Passenger,,,,itu_nonfishing
203688400,Non-fishing,Passenger,,,,itu_nonfishing
203689400,Non-fishing,Passenger,,,,itu_nonfishing
203692400,Non-fishing,Passenger,,,,itu_nonfishing
203694400,Non-fishing,Passenger,,,,itu_nonfishing
203696200,Non-fishing,Passenger,,,,itu_nonfishing
203696400,Non-fishing,Passenger,,,,itu_nonfishing
203701400,Non-fishing,Passenger,,,,itu_nonfishing
203703200,Non-fishing,Passenger,,,,itu_nonfishing
203706400,Non-fishing,Passenger,,,,itu_nonfishing
203707200,Non-fishing,Passenger,,,,itu_nonfishing
203707400,Non-fishing,Passenger,,,,itu_nonfishing
203709200,Non-fishing,Passenger,,,,itu_nonfishing
203709400,Non-fishing,Passenger,,,,itu_nonfishing
203712400,Non-fishing,Passenger,,,,itu_nonfishing
203715400,Non-fishing,Passenger,,,,itu_nonfishing
203716400,Non-fishing,Passenger,,,,itu_nonfishing
203717400,Non-fishing,Passenger,,,,itu_nonfishing
203718400,Non-fishing,Passenger,,,,itu_nonfishing
203719400,Non-fishing,Passenger,,,,itu_nonfishing
203721400,Non-fishing,Passenger,,,,itu_nonfishing
203722400,Non-fishing,Passenger,,,,itu_nonfishing
203723400,Non-fishing,Passenger,,,,itu_nonfishing
203724400,Non-fishing,Passenger,,,,itu_nonfishing
203725400,Non-fishing,Passenger,,,,itu_nonfishing
203726400,Non-fishing,Passenger,,,,itu_nonfishing
203729400,Non-fishing,Passenger,,,,itu_nonfishing
203731400,Non-fishing,Passenger,,,,itu_nonfishing
203732400,Non-fishing,Passenger,,,,itu_nonfishing
203737400,Non-fishing,Passenger,,,,itu_nonfishing
203738400,Non-fishing,Passenger,,,,itu_nonfishing
203742400,Non-fishing,Passenger,,,,itu_nonfishing
203743400,Non-fishing,Passenger,,,,itu_nonfishing
203744200,Non-fishing,Passenger,,,,itu_nonfishing
203745200,Non-fishing,Passenger,,,,kristina
203745400,Non-fishing,Passenger,,,,itu_nonfishing
203746400,Non-fishing,Passenger,,,,itu_nonfishing
203747400,Non-fishing,Passenger,,,,itu_nonfishing
203749200,Non-fishing,Passenger,,,,itu_nonfishing
203749400,Non-fishing,Passenger,,,,itu_nonfishing
203751400,Non-fishing,Passenger,,,,itu_nonfishing
203753400,Non-fishing,Passenger,,,,itu_nonfishing
203755400,Non-fishing,Passenger,,,,itu_nonfishing
203758400,Non-fishing,Passenger,,,,itu_nonfishing
203761400,Non-fishing,Passenger,,,,itu_nonfishing
203763400,Non-fishing,Passenger,,,,itu_nonfishing
203764400,Non-fishing,Passenger,,,,itu_nonfishing
203766400,Non-fishing,Passenger,,,,itu_nonfishing
203768400,Non-fishing,Passenger,,,,itu_nonfishing
203783200,Non-fishing,Passenger,,,,itu_nonfishing
203787400,Non-fishing,Passenger,,,,itu_nonfishing
203793100,Non-fishing,Passenger,,,,itu_nonfishing
203794200,Non-fishing,Passenger,,,,itu_nonfishing
203809200,Non-fishing,Passenger,,,,itu_nonfishing
203810200,Non-fishing,Passenger,,,,itu_nonfishing
203828400,Non-fishing,Passenger,,,,itu_nonfishing
203857400,Non-fishing,Passenger,,,,itu_nonfishing
203861200,Non-fishing,Passenger,,,,itu_nonfishing
203875400,Non-fishing,Passenger,,,,itu_nonfishing
203883200,Non-fishing,Passenger,,,,itu_nonfishing
203888400,Non-fishing,Passenger,,,,itu_nonfishing
203971100,Non-fishing,Passenger,,,,itu_nonfishing
203999351,Non-fishing,Passenger,,,,five24
203999394,Non-fishing,Passenger,,,,five24
203999396,Non-fishing,Passenger,,,,river
203999399,Non-fishing,Passenger,,,,river
204041000,Fishing,Set gear,Set gillnets,20.0,89.090000000000003,eu
204201240,Fishing,Pole and line,,26.5,149.97999999999999,eu
204201270,Fishing,Set gear,Set longlines,15.0,51.719999999999999,eu
204201360,Fishing,Set gear,,29.460000000000001,224.0,eu
204201560,Fishing,Pole and line,,25.399999999999999,138.66,clav;eu
204202570,Fishing,Pole and line,,9.1500000000000004,5.5300000000000002,eu
204202940,Fishing,Pole and line,,11.949999999999999,13.09,eu
204203650,Fishing,,,15.35,42.219999999999999,eu
204203880,Fishing,,,9.0,4.5800000000000001,eu
204204280,Fishing,,,13.5,19.809999999999999,eu
204204560,Fishing,Pole and line,,9.6500000000000004,8.2799999999999994,eu
204204780,Fishing,,,15.35,40.0,eu
204205960,Fishing,,,8.9800000000000004,4.7800000000000002,eu
204206740,Fishing,,,20.0,77.390000000000001,clav;eu
204206750,Fishing,,,16.199999999999999,42.200000000000003,eu
204206760,Fishing,,,16.199999999999999,42.200000000000003,eu
204208790,Fishing,Pole and line,,24.0,98.319999999999993,clav;eu
204209570,Fishing,Pole and line,,25.0,148.41999999999999,clav;eu
204209840,Fishing,Pole and line,,20.0,86.769999999999996,clav;eu
204209890,Fishing,,,16.100000000000001,52.240000000000002,eu
204209950,Fishing,,,19.899999999999999,88.010000000000005,eu
204209960,Fishing,,,20.0,86.640000000000001,clav;eu
204210770,Fishing,Pole and line,,14.0,22.190000000000001,eu
204211000,Fishing,Drifting longlines,,27.510000000000002,225.0,eu;itu
204212000,Fishing,,,34.5,273.0,eu;itu
204213000,Fishing,,,,,itu
204218000,Fishing,,,,,itu
204225000,Fishing,,,25.359999999999999,154.0,eu
204226000,Fishing,,,27.199999999999999,232.69,eu
204228000,Fishing,,,28.600000000000001,228.0,eu;itu
204229000,Fishing,Trawlers,,28.199999999999999,249.0,eu
204232000,Fishing,Drifting longlines,,32.799999999999997,332.0,eu;itu
204233000,Fishing,,,24.75,157.94,eu;itu
204235000,Fishing,,,28.100000000000001,238.31999999999999,eu;itu
204236000,Fishing,Set gear,Set longlines,23.0,123.3,eu
204237000,Fishing,,,21.0,136.30000000000001,eu;itu
204238000,Fishing,,,,,itu
204239000,Fishing,,,,,itu
204242000,Fishing,Set gear,Set gillnets,20.0,51.719999999999999,eu
204243000,Fishing,Trawlers,,28.0,249.0,eu
204244000,Fishing,Trawlers,,23.600000000000001,175.74000000000001,eu
204245000,Fishing,Purse seines,,19.0,53.969999999999999,eu
204248000,Fishing,,,21.140000000000001,66.349999999999994,eu
204255000,Fishing,Set gear,Set gillnets,20.0,86.890000000000001,eu
204257000,Fishing,,,21.5,63.539999999999999,eu
204259000,Fishing,,,,,itu
204260000,Fishing,Trawlers,,29.300000000000001,217.0,eu
204261000,Fishing,Purse seines,,22.699999999999999,68.579999999999998,eu
204263000,Fishing,Trawlers,,23.600000000000001,179.53,eu
204264000,Fishing,Pole and line,,25.399999999999999,138.66,clav
204266000,Fishing,Set gear,Set gillnets,15.06,21.989999999999998,eu
204268000,Fishing,,,,,itu
204269000,Fishing,Set gear,,17.32,34.939999999999998,eu
204270000,Fishing,Set gear,,15.34,23.780000000000001,eu
204274000,Fishing,Set gear,,18.800000000000001,35.359999999999999,eu
204275000,Fishing,Set gear,,16.75,27.920000000000002,eu
204277000,Fishing,Set gear,Set gillnets,18.699999999999999,36.759999999999998,eu
204284000,Fishing,,,,,itu
204285000,Fishing,,,18.75,38.880000000000003,eu
204287000,Fishing,Pole and line,,29.899999999999999,186.43000000000001,clav;eu
204708000,Non-fishing,,,100.59999999999999,4450.0,cargotanker;reefer
204807000,Fishing,Pole and line,,28.100000000000001,134.0,clav;eu
204810000,Fishing,Pole and line,,28.100000000000001,135.0,clav
204813000,Fishing,,,28.0,215.0,eu
204814000,Fishing,,,28.100000000000001,215.0,eu
204815000,Fishing,,,28.100000000000001,184.0,eu
204819000,Fishing,Drifting longlines,,24.199999999999999,188.0,eu;itu
204820000,Fishing,Trawlers,,84.939999999999998,2251.0,eu
204821000,Fishing,,,,,itu
204824000,Fishing,,,30.170000000000002,145.0,eu
204826000,Fishing,Pole and line,,31.140000000000001,166.0,clav;eu
204827000,Fishing,Pole and line,,30.800000000000001,155.0,clav
204829000,Fishing,,,25.41,116.0,clav;eu
204834000,Fishing,Pole and line,,29.25,145.0,clav
204835000,Fishing,Pole and line,,28.100000000000001,134.0,clav;eu
204837000,Fishing,,,,,itu
204838000,Fishing,Pole and line,,28.100000000000001,134.0,clav;eu
204848000,Fishing,Set gear,,29.460000000000001,167.0,eu;itu
204851000,Fishing,Pole and line,,25.399999999999999,138.52000000000001,clav
204853000,Fishing,,,24.899999999999999,178.41999999999999,eu;itu
204856000,Fishing,,,29.460000000000001,171.0,eu
204858000,Fishing,Pole and line,,29.460000000000001,171.0,clav;eu
204862000,Fishing,Drifting longlines,,37.700000000000003,319.0,eu
205001000,Non-fishing,Tug/Pilot/Supply,Tug,,,itu_nonfishing
205008600,Non-fishing,Cargo/Tanker,Tanker,,,cargotanker
205010000,Fishing,,,,,itu
205013000,Non-fishing,Tug/Pilot/Supply,Tug,,,itu_nonfishing
205017000,Fishing,Trawlers,,23.940000000000001,94.0,eu;itu
205019000,Non-fishing,Tug/Pilot/Supply,Tug,,,itu_nonfishing
205022000,Non-fishing,Tug/Pilot/Supply,Tug,,,itu_nonfishing
205024000,Fishing,,,,,itu
205025000,Non-fishing,Tug/Pilot/Supply,Tug,,,itu_nonfishing
205026000,Fishing,Trawlers,,18.140000000000001,55.0,eu;itu
205027000,Fishing,,,,,itu
205029000,Non-fishing,Tug/Pilot/Supply,Tug,,,itu_nonfishing
205033000,Non-fishing,Passenger,,,,itu_nonfishing
205036000,Non-fishing,Tug/Pilot/Supply,Tug,,,itu_nonfishing
205043000,Non-fishing,Passenger,,,,itu_nonfishing
205045800,Non-fishing,Cargo/Tanker,Tanker,,,cargotanker
205051000,Non-fishing,Tug/Pilot/Supply,Tug,,,itu_nonfishing
205057000,Non-fishing,Tug/Pilot/Supply,Tug,,,itu_nonfishing
205058000,Non-fishing,Tug/Pilot/Supply,Tug,,,itu_nonfishing
205059000,Fishing,Trawlers,,38.310000000000002,387.0,eu;itu
205063000,Non-fishing,Tug/Pilot/Supply,Tug,,,itu_nonfishing
205065000,Non-fishing,Tug/Pilot/Supply,Tug,,,itu_nonfishing
205067000,Non-fishing,Tug/Pilot/Supply,Tug,,,itu_nonfishing
205070000,Non-fishing,Tug/Pilot/Supply,Tug,,,itu_nonfishing
205071000,Non-fishing,Tug/Pilot/Supply,Tug,,,itu_nonfishing
205074000,Non-fishing,Tug/Pilot/Supply,Tug,,,itu_nonfishing
205076000,Fishing,,,,135.0,itu
205082000,Non-fishing,Tug/Pilot/Supply,Tug,,,itu_nonfishing
205084000,Non-fishing,Tug/Pilot/Supply,Tug,,,itu_nonfishing
205086000,Non-fishing,Tug/Pilot/Supply,Tug,,,itu_nonfishing
205087000,Non-fishing,Tug/Pilot/Supply,Tug,,,itu_nonfishing
205098000,Fishing,,,,,itu
205101000,Fishing,Set gear,Set gillnets,21.530000000000001,133.0,eu;itu
205106000,Fishing,Trawlers,,33.670000000000002,273.0,eu
205116000,Non-fishing,Passenger,,,,itu_nonfishing
205121000,Fishing,,,,37.0,itu
205123000,Non-fishing,Tug/Pilot/Supply,Tug,,,itu_nonfishing
205128000,Fishing,Trawlers,,23.989999999999998,102.0,eu
205141000,Fishing,,,,,itu
205148000,Fishing,Trawlers,,23.82,104.0,eu
205149000,Fishing,Trawlers,,32.5,251.0,eu;itu
205150000,Fishing,Trawlers,,27.199999999999999,100.0,eu;itu
205153000,Fishing,Trawlers,,37.200000000000003,275.0,eu;itu
205155000,Fishing,Trawlers,,34.899999999999999,279.0,eu;itu
205156000,Fishing,,,,,itu
205160000,Fishing,,,,,itu
205161000,Fishing,,,29.800000000000001,252.0,eu;itu
205162000,Fishing,Trawlers,,37.869999999999997,385.0,eu;itu
205163000,Fishing,,,,,itu
205164000,Fishing,,,,,itu
205165000,Fishing,,,,207.0,itu
205166000,Fishing,,,,,itu
205168000,Fishing,,,,,itu
205169000,Fishing,Trawlers,,37.810000000000002,384.0,eu
205170000,Fishing,Trawlers,,37.090000000000003,366.0,eu;itu
205172000,Non-fishing,Tug/Pilot/Supply,Tug,,,itu_nonfishing
205177000,Non-fishing,Tug/Pilot/Supply,Tug,,,itu_nonfishing
205179000,Non-fishing,Tug/Pilot/Supply,Tug,,,itu_nonfishing
205181000,Non-fishing,Tug/Pilot/Supply,Tug,,,itu_nonfishing
205185000,Non-fishing,Passenger,,,,itu_nonfishing
205188000,Non-fishing,Tug/Pilot/Supply,Tug,,,itu_nonfishing
205189000,Fishing,,,,12.0,itu
205191000,Fishing,Trawlers,,23.940000000000001,139.0,eu;itu
205192000,Fishing,Trawlers,,38.93,372.0,eu
205193000,Non-fishing,Tug/Pilot/Supply,Tug,,,itu_nonfishing
205197000,Fishing,Trawlers,,37.880000000000003,311.0,eu;itu
205198000,Fishing,Trawlers,,37.829999999999998,388.0,eu;itu
205199000,Non-fishing,Tug/Pilot/Supply,Tug,,,itu_nonfishing
205200000,Non-fishing,Tug/Pilot/Supply,Tug,,,itu_nonfishing
205203390,Non-fishing,Tug/Pilot/Supply,Tug,,,five24;tugs
205212390,Non-fishing,Cargo/Tanker,Tanker,,,cargotanker
205226410,Non-fishing,Passenger,Sailing,,,kristina
205227000,Fishing,Trawlers,,37.780000000000001,388.0,eu;itu
205228000,Fishing,,,,,itu
205229090,Non-fishing,Cargo/Tanker,Tanker,,,cargotanker
205232000,Fishing,Trawlers,,23.850000000000001,138.0,eu;itu
205233000,Non-fishing,Tug/Pilot/Supply,Tug,,,itu_nonfishing
205234000,Non-fishing,Tug/Pilot/Supply,Tug,,,itu_nonfishing
205236000,Fishing,Trawlers,,23.940000000000001,130.0,eu;itu
205237000,Fishing,Trawlers,,37.829999999999998,389.0,eu;itu
205237290,Non-fishing,Cargo/Tanker,Tanker,,,cargotanker
205238000,Non-fishing,Tug/Pilot/Supply,Tug,,,itu_nonfishing
205239000,Fishing,Trawlers,,30.699999999999999,159.0,eu;itu
205240000,Fishing,Trawlers,,38.219999999999999,384.0,eu
205241000,Fishing,Trawlers,,32.32,336.0,eu;itu
205243000,Fishing,Trawlers,,37.810000000000002,385.0,eu;itu
205244000,Fishing,,,,,itu
205245000,Fishing,,,,82.0,itu
205245890,Non-fishing,Cargo/Tanker,Tanker,,,cargotanker
205245990,Non-fishing,Cargo/Tanker,Tanker,,,cargotanker
205246000,Fishing,Trawlers,,37.960000000000001,388.0,eu;itu
205247000,Fishing,,,,273.0,itu
205247090,Non-fishing,Cargo/Tanker,Tanker,,,cargotanker
205247700,Non-fishing,Cargo/Tanker,Tanker,,,cargotanker
205248000,Fishing,,,,,itu
205249000,Fishing,,,,,itu
205252690,Non-fishing,Tug/Pilot/Supply,Tug,,,five24;tugs
205254000,Fishing,,,,,itu
205256290,Non-fishing,Cargo/Tanker,Cargo,,,cargotanker
205257010,Non-fishing,Passenger,Sailing,,,kristina
205258000,Fishing,Trawlers,,23.989999999999998,109.0,eu;itu
205258890,Non-fishing,Cargo/Tanker,Cargo,,,cargotanker
205259000,Fishing,,,,234.0,itu
205260000,Fishing,,,,264.0,itu
205261000,Fishing,Trawlers,,22.940000000000001,84.0,eu
205262000,Fishing,Trawlers,,34.799999999999997,236.0,eu;itu
205263390,Non-fishing,Cargo/Tanker,Cargo,,,cargotanker
205264000,Fishing,Trawlers,,21.91,56.0,eu
205264290,Non-fishing,Tug/Pilot/Supply,Tug,,,five24;tugs
205265000,Fishing,Trawlers,,23.82,69.0,eu
205267669,Non-fishing,Cargo/Tanker,Cargo,,,cargotanker
205269000,Fishing,Trawlers,,16.800000000000001,33.0,eu;itu
205269190,Non-fishing,Passenger,,,,alex
205270000,Fishing,,,,,itu
205271000,Fishing,,,17.0,33.0,eu;itu
205272000,Fishing,Trawlers,,22.32,68.0,eu
205273000,Fishing,,,,54.0,itu
205273990,Non-fishing,Tug/Pilot/Supply,Tug,,,five24;tugs
205274000,Fishing,,,,,itu
205275000,Fishing,Trawlers,,34.799999999999997,254.0,eu;itu
205277000,Fishing,Trawlers,,30.579999999999998,217.0,eu;itu
205278000,Fishing,Trawlers,,33.530000000000001,233.0,eu;itu
205280000,Fishing,,,,,itu
205281000,Fishing,Trawlers,,20.010000000000002,57.0,eu;itu
205282000,Fishing,,,,,itu
205284000,Fishing,Trawlers,,34.899999999999999,284.0,eu;itu
205284690,Non-fishing,Cargo/Tanker,Cargo,,,cargotanker
205284990,Non-fishing,Cargo/Tanker,Tanker,,,cargotanker
205285000,Fishing,Trawlers,,19.350000000000001,66.0,eu;itu
205285590,Non-fishing,Cargo/Tanker,Cargo,,,cargotanker
205286000,Fishing,Trawlers,,23.75,99.0,eu;itu
205286790,Non-fishing,Cargo/Tanker,Cargo,,,cargotanker
205287000,Fishing,,,,79.0,itu
205288000,Fishing,,,,,itu
205289000,Fishing,,,,284.0,itu
205289990,Non-fishing,Cargo/Tanker,Cargo,,,cargotanker
205290000,Fishing,,,,78.0,itu
205291000,Fishing,Trawlers,,23.82,70.0,eu;itu
205292000,Fishing,,,,17.0,itu
205293000,Fishing,Trawlers,,20.039999999999999,68.0,eu;itu
205293390,Non-fishing,Cargo/Tanker,Tanker,,,cargotanker
205294000,Fishing,Trawlers,,21.0,62.0,eu;itu
205295690,Non-fishing,Cargo/Tanker,Tanker,,,cargotanker
205296000,Fishing,Trawlers,,23.989999999999998,60.0,eu;itu
205297000,Fishing,,,,,itu
205298000,Fishing,,,,198.0,itu
205298990,Non-fishing,Cargo/Tanker,Tanker,,,cargotanker
205299000,Fishing,,,,,itu
205300000,Non-fishing,Tug/Pilot/Supply,Tug,,,itu_nonfishing
205300690,Non-fishing,Cargo/Tanker,Tanker,,,cargotanker
205301000,Fishing,,,,,itu
205301290,Non-fishing,Cargo/Tanker,Tanker,,,cargotanker
205302000,Fishing,,,,,itu
205303000,Fishing,Trawlers,,37.799999999999997,390.0,eu;itu
205304000,Fishing,,,,,itu
205305000,Fishing,,,,,itu
205306000,Fishing,Trawlers,,37.789999999999999,386.0,eu
205307000,Fishing,Set gear,Set gillnets,21.079999999999998,67.0,eu
205308000,Fishing,Trawlers,,21.390000000000001,53.0,eu
205311000,Fishing,Set gear,Set gillnets,12.68,18.0,eu;itu
205311190,Non-fishing,Cargo/Tanker,Tanker,,,cargotanker
205315000,Fishing,Trawlers,,21.969999999999999,44.0,eu;itu
205316000,Fishing,Trawlers,,36.109999999999999,351.0,eu;itu
205317000,Fishing,,,,,itu
205319000,Fishing,,,,68.0,itu
205320000,Fishing,Trawlers,,23.98,88.5,eu;itu
205321000,Fishing,Trawlers,,37.450000000000003,357.0,eu;itu
205322000,Fishing,Trawlers,,37.890000000000001,385.0,eu
205323000,Fishing,Trawlers,,17.0,42.0,eu
205324000,Fishing,,,,,itu
205325000,Fishing,Trawlers,,33.18,143.0,eu;itu
205325390,Non-fishing,Cargo/Tanker,Cargo,,,cargotanker
205327000,Fishing,,,12.4,22.0,eu
205328000,Fishing,Trawlers,,19.0,37.0,eu
