mmsi,is_fishing,label,sublabel,length,tonnage,country
25000116,Fishing,Trawlers,,11.960000000000001,22.510000000000002,
26103770,Fishing,Longliners,Set longlines,17.260000000000002,36.0,
36706320,Fishing,,,,,
36764000,Fishing,,,,,
37329000,Fishing,,,,,
41222068,Fishing,,,,,
41269518,Fishing,,,,,
41278146,Fishing,,,,,
44710802,Non-fishing,Passenger,,,,
45663000,Fishing,,,,,
47100460,Fishing,,,,,
47147590,Fishing,,,,,
47795119,Non-fishing,Passenger,,,,
49000000,Fishing,,,,,
57173720,Fishing,,,,,
60000270,Fishing,,,,,
61025890,Fishing,,,,,
76000203,Fishing,,,,,
76000210,Fishing,,,,,
76001160,Fishing,,,,,
91681688,Fishing,,,,,
98301528,Fishing,,,,,
98302515,Fishing,,,,,
98302686,Fishing,,,,,
98302862,Fishing,,,,,
98304432,Fishing,,,,,
98307977,Fishing,,,,,
98308481,Fishing,,,,,
98308807,Fishing,,,,,
98309298,Fishing,,,,,
100000005,Fishing,,,,,
100000018,Fishing,,,,,
100000046,Fishing,,,,,
100000668,Fishing,,,,,
100001001,Fishing,,,,,
100006094,Fishing,,,,,
100009981,Fishing,,,,,
100014971,Fishing,,,,,
100036862,Fishing,,,,,
100040189,Fishing,,,,,
100506940,Fishing,,,,,
100700034,Fishing,,,,,
100700052,Fishing,,,,,
100700106,Fishing,,,,,
100700127,Fishing,,,,,
100700144,Fishing,,,,,
100700146,Fishing,,,,,
100700159,Fishing,,,,,
100700227,Fishing,,,,,
100700231,Fishing,,,,,
100700474,Fishing,,,,,
100700695,Fishing,,,,,
100700761,Fishing,,,,,
100700762,Fishing,,,,,
100700767,Fishing,,,,,
100700772,Fishing,,,,,
100700775,Fishing,,,,,
100700779,Fishing,,,,,
100700798,Fishing,,,,,
100700806,Fishing,,,,,
100700832,Fishing,,,,,
100700833,Fishing,,,,,
100701053,Fishing,,,,,
100701098,Fishing,,,,,
100701145,Fishing,,,,,
100701332,Fishing,,,,,
100701337,Fishing,,,,,
100701567,Fishing,,,,,
100701656,Fishing,,,,,
100701827,Fishing,,,,,
100701977,Fishing,,,,,
100701981,Fishing,,,,,
100702529,Fishing,,,,,
100702531,Fishing,,,,,
100702534,Fishing,,,,,
100702538,Fishing,,,,,
100702574,Fishing,,,,,
100702578,Fishing,,,,,
100702606,Fishing,,,,,
100702670,Fishing,,,,,
100702679,Fishing,,,,,
100702825,Fishing,,,,,
100702921,Fishing,,,,,
100703127,Fishing,,,,,
100703173,Fishing,,,,,
100704186,Fishing,,,,,
100704617,Fishing,,,,,
100704653,Fishing,,,,,
100705211,Fishing,,,,,
100705277,Fishing,,,,,
100705669,Fishing,,,,,
100705859,Fishing,,,,,
100705863,Fishing,,,,,
100706178,Fishing,,,,,
100706185,Fishing,,,,,
100706198,Fishing,,,,,
100706558,Fishing,,,,,
100710265,Fishing,,,,,
100714050,Fishing,,,,,
100800276,Fishing,,,,,
100880405,Fishing,,,,,
100881741,Fishing,,,,,
100882984,Fishing,,,,,
100900001,Fishing,,,,,
100900051,Fishing,,,,,
101306007,Fishing,,,,,
101306353,Fishing,,,,,
101306904,Fishing,,,,,
101307017,Fishing,,,,,
101307108,Fishing,,,,,
101307455,Fishing,,,,,
101406487,Fishing,,,,,
101406542,Fishing,,,,,
101406573,Fishing,,,,,
101406580,Fishing,,,,,
101406838,Fishing,,,,,
101406858,Fishing,,,,,
101406888,Fishing,,,,,
101406961,Fishing,,,,,
101406962,Fishing,,,,,
101407346,Fishing,,,,,
101407875,Fishing,,,,,
101408351,Fishing,,,,,
101408390,Fishing,,,,,
101500705,Fishing,,,,,
103298888,Fishing,,,,,
104700852,Fishing,,,,,
109865198,Fishing,,,,,
110040625,Fishing,,,,,
110200436,Fishing,,,,,
110300041,Fishing,,,,,
110300228,Fishing,,,,,
110300248,Fishing,,,,,
110300259,Fishing,,,,,
110300578,Fishing,,,,,
110308888,Fishing,,,,,
110700014,Fishing,,,,,
110700044,Fishing,,,,,
110700123,Fishing,,,,,
110700329,Fishing,,,,,
110700770,Fishing,,,,,
110700852,Fishing,,,,,
110700873,Fishing,,,,,
110700881,Fishing,,,,,
110700917,Fishing,,,,,
110700972,Fishing,,,,,
110700977,Fishing,,,,,
110702817,Fishing,,,,,
110703107,Fishing,,,,,
110703120,Fishing,,,,,
110703143,Fishing,,,,,
110703147,Fishing,,,,,
110703359,Fishing,,,,,
110705296,Fishing,,,,,
110705682,Fishing,,,,,
110705748,Fishing,,,,,
110705761,Fishing,,,,,
110705896,Fishing,,,,,
110706289,Fishing,,,,,
110706446,Fishing,,,,,
110706456,Fishing,,,,,
110706492,Fishing,,,,,
110706763,Fishing,,,,,
110706766,Fishing,,,,,
110706798,Fishing,,,,,
110706891,Fishing,,,,,
110766666,Fishing,,,,,
110767890,Fishing,,,,,
110777777,Fishing,,,,,
110785555,Fishing,,,,,
110798998,Fishing,,,,,
110898998,Fishing,,,,,
110982229,Fishing,,,,,
110988000,Fishing,,,,,
111005141,Fishing,,,,,
111100000,Non-fishing,Reefer,,,,
111111110,Non-fishing,Cargo/Tanker,Cargo,,,
111111118,Fishing,,,,,
111111188,Fishing,,,,,
111203371,Fishing,,,,,
111203412,Fishing,,,,,
111203548,Fishing,,,,,
111203873,Fishing,,,,,
111203949,Fishing,,,,,
111206315,Fishing,,,,,
111357575,Fishing,,,,,
111888666,Fishing,,,,,
112461278,Fishing,,,,,
112925432,Fishing,,,,,
113333333,Fishing,,,,,
115677890,Fishing,,,,,
115678989,Fishing,,,,,
115678999,Fishing,,,,,
116788667,Fishing,,,,,
117897897,Fishing,,,,,
117897898,Fishing,,,,,
120400154,Fishing,,,,,
120413790,Fishing,,,,,
120700522,Fishing,,,,,
120701454,Fishing,,,,,
120703221,Fishing,,,,,
120788999,Fishing,,,,,
121000287,Fishing,,,,,
121001428,Fishing,,,,,
122222286,Fishing,,,,,
122332223,Fishing,,,,,
122408213,Fishing,,,,,
123088888,Fishing,,,,,
123134026,Fishing,,,,,
123403001,Fishing,,,,,
123450020,Fishing,Purse seines,,,,
123450800,Fishing,Purse seines,,,,
123456765,Fishing,,,,,
123456787,Fishing,,,,,
123456798,Fishing,,,,,
123678568,Fishing,,,,,
123789888,Fishing,,,,,
123842988,Fishing,,,,,
123898989,Fishing,,,,,
124345678,Fishing,,,,,
125588837,Fishing,,,,,
129870987,Fishing,,,,,
130400805,Fishing,,,,,
130400806,Fishing,,,,,
130400920,Fishing,,,,,
130660453,Fishing,,,,,
130700215,Fishing,,,,,
130700221,Fishing,,,,,
130700433,Fishing,,,,,
130700536,Fishing,,,,,
130700549,Fishing,,,,,
130700551,Fishing,,,,,
130700705,Fishing,,,,,
130701733,Fishing,,,,,
130701836,Fishing,,,,,
130702005,Fishing,,,,,
138550555,Fishing,,,,,
139766666,Fishing,,,,,
139797823,Fishing,,,,,
140000055,Fishing,,,,,
140000111,Fishing,,,,,
140100081,Fishing,,,,,
140100083,Fishing,,,,,
140400479,Fishing,,,,,
140400613,Fishing,,,,,
140401040,Fishing,,,,,
140402427,Fishing,,,,,
140700857,Fishing,,,,,
140701193,Fishing,,,,,
140701544,Fishing,,,,,
140703185,Fishing,,,,,
141000257,Fishing,,,,,
141000258,Fishing,,,,,
141000479,Fishing,,,,,
141150000,Fishing,,,,,
146003620,Fishing,,,,,
147899211,Fishing,,,,,
150000285,Fishing,,,,,
150200002,Fishing,,,,,
150200046,Fishing,,,,,
150200411,Fishing,,,,,
150200946,Fishing,,,,,
150200950,Fishing,,,,,
150200990,Fishing,,,,,
150201048,Fishing,,,,,
150201178,Fishing,,,,,
150201328,Fishing,,,,,
150201349,Fishing,,,,,
150201499,Fishing,,,,,
150201655,Fishing,,,,,
150201770,Fishing,,,,,
150201840,Fishing,,,,,
150202027,Fishing,,,,,
150202239,Fishing,,,,,
150202679,Fishing,,,,,
150202737,Fishing,,,,,
150202800,Fishing,,,,,
150202868,Fishing,,,,,
150202986,Fishing,,,,,
150203054,Fishing,,,,,
150203126,Fishing,,,,,
150203127,Fishing,,,,,
150203222,Fishing,,,,,
150203388,Fishing,,,,,
150203451,Fishing,,,,,
150203465,Fishing,,,,,
150203486,Fishing,,,,,
150203522,Fishing,,,,,
150203644,Fishing,,,,,
150203680,Fishing,,,,,
150203711,Fishing,,,,,
150203712,Fishing,,,,,
150203713,Fishing,,,,,
150203733,Fishing,,,,,
150203795,Fishing,,,,,
150203821,Fishing,,,,,
150203823,Fishing,,,,,
150203887,Fishing,,,,,
150203930,Fishing,,,,,
150203937,Fishing,,,,,
150203941,Fishing,,,,,
150203945,Fishing,,,,,
150204014,Fishing,,,,,
150204085,Fishing,,,,,
150204090,Fishing,,,,,
150204240,Fishing,,,,,
150204249,Fishing,,,,,
150204368,Fishing,,,,,
150204375,Fishing,,,,,
150204402,Fishing,,,,,
150204414,Fishing,,,,,
150204443,Fishing,,,,,
150204460,Fishing,,,,,
150204461,Fishing,,,,,
150204659,Fishing,,,,,
150204662,Fishing,,,,,
150205008,Fishing,,,,,
150205010,Fishing,,,,,
150205019,Fishing,,,,,
150205022,Fishing,,,,,
150206007,Fishing,,,,,
152123456,Fishing,,,,,
156789789,Fishing,,,,,
168162803,Fishing,,,,,
178978898,Fishing,,,,,
180779680,Fishing,,,,,
183051663,Fishing,,,,,
188978989,Fishing,,,,,
190700899,Fishing,,,,,
190701084,Fishing,,,,,
190701091,Fishing,,,,,
190701094,Fishing,,,,,
190701095,Fishing,,,,,
190701129,Fishing,,,,,
191283710,Fishing,,,,,
199910031,Fishing,,,,,
200000006,Fishing,,,,,
200000012,Fishing,,,,,
200000029,Fishing,,,,,
200000051,Fishing,,,,,
200000054,Fishing,,,,,
200000088,Fishing,,,,,
200000132,Fishing,,,,,
200000160,Fishing,,,,,
200000168,Fishing,,,,,
200000198,Fishing,,,,,
200000226,Fishing,,,,,
200000235,Fishing,,,,,
200000247,Fishing,,,,,
200000256,Fishing,,,,,
200000265,Fishing,,,,,
200000268,Fishing,,,,,
200000288,Fishing,,,,,
200000310,Fishing,,,,,
200000319,Fishing,,,,,
200000329,Fishing,,,,,
200000347,Fishing,,,,,
200000350,Fishing,,,,,
200000351,Fishing,,,,,
200000360,Fishing,,,,,
200000386,Fishing,,,,,
200000429,Fishing,,,,,
200000503,Fishing,,,,,
200000537,Fishing,,,,,
200000556,Fishing,,,,,
200000581,Fishing,,,,,
200000583,Fishing,,,,,
200000584,Fishing,,,,,
200000596,Fishing,,,,,
200000661,Fishing,,,,,
200000676,Fishing,,,,,
200000706,Fishing,,,,,
200000761,Fishing,,,,,
200000795,Fishing,,,,,
200000816,Fishing,,,,,
200000819,Fishing,,,,,
200000901,Fishing,,,,,
200000929,Fishing,,,,,
200000938,Fishing,,,,,
200000953,Fishing,,,,,
200000975,Fishing,,,,,
200001019,Fishing,,,,,
200001025,Fishing,,,,,
200001034,Fishing,,,,,
200001061,Fishing,,,,,
200001068,Fishing,,,,,
200001069,Fishing,,,,,
200001105,Fishing,,,,,
200001140,Non-fishing,Reefer,,,,
200001162,Fishing,,,,,
200001215,Fishing,,,,,
200001245,Fishing,,,,,
200001386,Fishing,,,,,
200001397,Fishing,,,,,
200001503,Fishing,,,,,
200001557,Fishing,,,,,
200001611,Fishing,,,,,
200001631,Fishing,,,,,
200001671,Fishing,,,,,
200001773,Fishing,,,,,
200001811,Fishing,,,,,
200001879,Fishing,,,,,
200001886,Fishing,,,,,
200001892,Fishing,,,,,
200001903,Fishing,,,,,
200002021,Fishing,,,,,
200002043,Fishing,,,,,
200002055,Fishing,,,,,
200002096,Fishing,,,,,
200002110,Fishing,,,,,
200002118,Fishing,,,,,
200002128,Fishing,,,,,
200002143,Fishing,,,,,
200002170,Fishing,,,,,
200002222,Fishing,,,,,
200002374,Fishing,,,,,
200002378,Fishing,,,,,
200002406,Fishing,,,,,
200002410,Fishing,,,,,
200002465,Fishing,,,,,
200002575,Fishing,,,,,
200002607,Fishing,,,,,
200002626,Fishing,,,,,
200002804,Fishing,,,,,
200002818,Fishing,,,,,
200002860,Fishing,,,,,
200002870,Fishing,,,,,
200002888,Fishing,,,,,
200002898,Fishing,,,,,
200002924,Fishing,,,,,
200002938,Fishing,,,,,
200002958,Fishing,,,,,
200003004,Fishing,,,,,
200003085,Fishing,,,,,
200003130,Fishing,,,,,
200003289,Fishing,,,,,
200003311,Fishing,,,,,
200003354,Fishing,,,,,
200003362,Fishing,,,,,
200003412,Fishing,,,,,
200003447,Fishing,,,,,
200003510,Fishing,,,,,
200003562,Fishing,,,,,
200003585,Fishing,,,,,
200003590,Fishing,,,,,
200003608,Fishing,,,,,
200003618,Fishing,,,,,
200003655,Fishing,,,,,
200003716,Fishing,,,,,
200003753,Fishing,,,,,
200003904,Fishing,,,,,
200003913,Fishing,,,,,
200003925,Fishing,,,,,
200003933,Fishing,,,,,
200003962,Fishing,,,,,
200004019,Fishing,,,,,
200004027,Fishing,,,,,
200004038,Fishing,,,,,
200004046,Fishing,,,,,
200004054,Fishing,,,,,
200004133,Fishing,,,,,
200004166,Fishing,,,,,
200004176,Fishing,,,,,
200004285,Fishing,,,,,
200004292,Fishing,,,,,
200004348,Fishing,,,,,
200004391,Fishing,,,,,
200004392,Fishing,,,,,
200004405,Fishing,,,,,
200004440,Fishing,,,,,
200004446,Fishing,,,,,
200004451,Fishing,,,,,
200004454,Fishing,,,,,
200004533,Fishing,,,,,
200004534,Fishing,,,,,
200004574,Fishing,,,,,
200004607,Fishing,,,,,
200004615,Fishing,,,,,
200004674,Fishing,,,,,
200004676,Fishing,,,,,
200004678,Fishing,,,,,
200004697,Fishing,,,,,
200004727,Fishing,,,,,
200004758,Fishing,,,,,
200004766,Fishing,,,,,
200004804,Fishing,,,,,
200004826,Fishing,,,,,
200004835,Fishing,,,,,
200004855,Fishing,,,,,
200004965,Fishing,,,,,
200004979,Fishing,,,,,
200004995,Fishing,,,,,
200005060,Fishing,,,,,
200005109,Fishing,,,,,
200005150,Fishing,,,,,
200005165,Fishing,,,,,
200005212,Fishing,,,,,
200005317,Fishing,,,,,
200005340,Fishing,,,,,
200005348,Fishing,,,,,
200005362,Fishing,,,,,
200005381,Fishing,,,,,
200005400,Fishing,,,,,
200005404,Fishing,,,,,
200005410,Fishing,,,,,
200005453,Fishing,,,,,
200005457,Fishing,,,,,
200005459,Fishing,,,,,
200005495,Fishing,,,,,
200005498,Fishing,,,,,
200005502,Fishing,,,,,
200005511,Fishing,,,,,
200005516,Fishing,,,,,
200005520,Fishing,,,,,
200005535,Fishing,,,,,
200005536,Fishing,,,,,
200005566,Fishing,,,,,
200005573,Fishing,,,,,
200005611,Fishing,,,,,
200005668,Fishing,,,,,
200005688,Fishing,,,,,
200005717,Fishing,,,,,
200005721,Fishing,,,,,
200005734,Fishing,,,,,
200005786,Fishing,,,,,
200005787,Fishing,,,,,
200005808,Fishing,,,,,
200005817,Fishing,,,,,
200005822,Fishing,,,,,
200005837,Fishing,,,,,
200005844,Fishing,,,,,
200005854,Fishing,,,,,
200005855,Fishing,,,,,
200005856,Fishing,,,,,
200005863,Fishing,,,,,
200005866,Fishing,,,,,
200005873,Fishing,,,,,
200005881,Fishing,,,,,
200005886,Fishing,,,,,
200005896,Fishing,,,,,
200005911,Fishing,,,,,
200005935,Fishing,,,,,
200005941,Fishing,,,,,
200005942,Fishing,,,,,
200005943,Fishing,,,,,
200005944,Fishing,,,,,
200005955,Fishing,,,,,
200005969,Fishing,,,,,
200005972,Fishing,,,,,
200005975,Fishing,,,,,
200005976,Fishing,,,,,
200005978,Fishing,,,,,
200005979,Fishing,,,,,
200005980,Fishing,,,,,
200005981,Fishing,,,,,
200005986,Fishing,,,,,
200005989,Fishing,,,,,
200005995,Fishing,,,,,
200005998,Fishing,,,,,
200006000,Fishing,,,,,
200006001,Fishing,,,,,
200006005,Fishing,,,,,
200006006,Fishing,,,,,
200006016,Fishing,,,,,
200006029,Fishing,,,,,
200006060,Fishing,,,,,
200006065,Fishing,,,,,
200006072,Fishing,,,,,
200006089,Fishing,,,,,
200006090,Fishing,,,,,
200006094,Fishing,,,,,
200006119,Fishing,,,,,
200006139,Fishing,,,,,
200006148,Fishing,,,,,
200006178,Fishing,,,,,
200006241,Fishing,,,,,
200006253,Fishing,,,,,
200006260,Fishing,,,,,
200006274,Fishing,,,,,
200006285,Fishing,,,,,
200006292,Fishing,,,,,
200006297,Fishing,,,,,
200006299,Fishing,,,,,
200006342,Fishing,,,,,
200006343,Fishing,,,,,
200006352,Fishing,,,,,
200006356,Fishing,,,,,
200006394,Fishing,,,,,
200006446,Fishing,,,,,
200006453,Fishing,,,,,
200006456,Fishing,,,,,
200006463,Fishing,,,,,
200006466,Fishing,,,,,
200006467,Fishing,,,,,
200006472,Fishing,,,,,
200006509,Fishing,,,,,
200006532,Fishing,,,,,
200006542,Fishing,,,,,
200006544,Fishing,,,,,
200006589,Fishing,,,,,
200006607,Fishing,,,,,
200006637,Fishing,,,,,
200006639,Fishing,,,,,
200006661,Fishing,,,,,
200006667,Fishing,,,,,
200006688,Fishing,,,,,
200006709,Fishing,,,,,
200006733,Fishing,,,,,
200006819,Fishing,,,,,
200006824,Fishing,,,,,
200006925,Fishing,,,,,
200006957,Fishing,,,,,
200006960,Fishing,,,,,
200006986,Fishing,,,,,
200006995,Fishing,,,,,
200007006,Fishing,,,,,
200007007,Fishing,,,,,
200007041,Fishing,,,,,
200007067,Fishing,,,,,
200007087,Fishing,,,,,
200007113,Fishing,,,,,
200007131,Fishing,,,,,
200007145,Fishing,,,,,
200007181,Fishing,,,,,
200007198,Fishing,,,,,
200007227,Fishing,,,,,
200007267,Fishing,,,,,
200007342,Fishing,,,,,
200007435,Fishing,,,,,
200007443,Fishing,,,,,
200007447,Fishing,,,,,
200007485,Fishing,,,,,
200007491,Fishing,,,,,
200007536,Fishing,,,,,
200007537,Fishing,,,,,
200007538,Fishing,,,,,
200007539,Fishing,,,,,
200007542,Fishing,,,,,
200007554,Fishing,,,,,
200007556,Fishing,,,,,
200007570,Fishing,,,,,
200007596,Fishing,,,,,
200007607,Fishing,,,,,
200007615,Fishing,,,,,
200007627,Fishing,,,,,
200007633,Fishing,,,,,
200007666,Fishing,,,,,
200007678,Fishing,,,,,
200007680,Fishing,,,,,
200007686,Fishing,,,,,
200007697,Fishing,,,,,
200007699,Fishing,,,,,
200007704,Fishing,,,,,
200007754,Fishing,,,,,
200007788,Fishing,,,,,
200007809,Fishing,,,,,
200007811,Fishing,,,,,
200007812,Fishing,,,,,
200007814,Fishing,,,,,
200007842,Fishing,,,,,
200007884,Fishing,,,,,
200007900,Fishing,,,,,
200007909,Fishing,,,,,
200007910,Fishing,,,,,
200007921,Fishing,,,,,
200007977,Fishing,,,,,
200007982,Fishing,,,,,
200008065,Fishing,,,,,
200008094,Fishing,,,,,
200008102,Fishing,,,,,
200008179,Fishing,,,,,
200008261,Fishing,,,,,
200008265,Fishing,,,,,
200008284,Fishing,,,,,
200008297,Fishing,,,,,
200008298,Fishing,,,,,
200008317,Fishing,,,,,
200008320,Fishing,,,,,
200008329,Fishing,,,,,
200008347,Fishing,,,,,
200008352,Fishing,,,,,
200008388,Fishing,,,,,
200008449,Fishing,,,,,
200008455,Fishing,,,,,
200008534,Fishing,,,,,
200008561,Fishing,,,,,
200008562,Fishing,,,,,
200008564,Fishing,,,,,
200008575,Fishing,,,,,
200008576,Fishing,,,,,
200008636,Fishing,,,,,
200008650,Fishing,Longliners,,37.079999999999991,265.0,
200008651,Fishing,,,,,
200008653,Fishing,,,,,
200008670,Fishing,,,,,
200008750,Fishing,,,,,
200008765,Fishing,,,,,
200008778,Fishing,,,,,
200008797,Fishing,,,,,
200008807,Fishing,,,,,
200008819,Fishing,,,,,
200008821,Fishing,,,,,
200008851,Fishing,,,,,
200008874,Fishing,,,,,
200008911,Fishing,,,,,
200008947,Fishing,,,,,
200008951,Fishing,,,,,
200008953,Fishing,,,,,
200008955,Fishing,,,,,
200008977,Fishing,,,,,
200008994,Fishing,,,,,
200008999,Fishing,,,,,
200009026,Fishing,,,,,
200009075,Fishing,,,,,
200009089,Fishing,,,,,
200009109,Fishing,,,,,
200009155,Fishing,,,,,
200009219,Fishing,,,,,
200009229,Fishing,,,,,
200009257,Fishing,,,,,
200009260,Fishing,,,,,
200009290,Fishing,,,,,
200009295,Fishing,,,,,
200009326,Fishing,,,,,
200009330,Fishing,,,,,
200009387,Fishing,,,,,
200009398,Fishing,,,,,
200009440,Fishing,,,,,
200009448,Fishing,,,,,
200009471,Fishing,,,,,
200009490,Fishing,,,,,
200009517,Fishing,,,,,
200009519,Fishing,,,,,
200009541,Fishing,,,,,
200009543,Fishing,,,,,
200009547,Fishing,,,,,
200009579,Fishing,,,,,
200009635,Fishing,,,,,
200009655,Fishing,,,,,
200009668,Fishing,,,,,
200009672,Fishing,,,,,
200009674,Fishing,,,,,
200009677,Fishing,,,,,
200009689,Fishing,,,,,
200009697,Fishing,,,,,
200009699,Fishing,,,,,
200009710,Fishing,,,,,
200009713,Fishing,,,,,
200009727,Fishing,,,,,
200009754,Fishing,,,,,
200009757,Fishing,,,,,
200009760,Fishing,,,,,
200009764,Fishing,,,,,
200009783,Fishing,,,,,
200009830,Fishing,,,,,
200009910,Fishing,,,,,
200009939,Fishing,,,,,
200010003,Fishing,,,,,
200010018,Fishing,,,,,
200010052,Fishing,,,,,
200010065,Fishing,,,,,
200010069,Fishing,,,,,
200010114,Fishing,,,,,
200010128,Fishing,,,,,
200010133,Fishing,,,,,
200010197,Fishing,,,,,
200010231,Fishing,,,,,
200010238,Fishing,,,,,
200010284,Fishing,,,,,
200010286,Fishing,,,,,
200010309,Fishing,,,,,
200010311,Fishing,,,,,
200010343,Fishing,,,,,
200010372,Fishing,,,,,
200010413,Fishing,,,,,
200010429,Fishing,,,,,
200010530,Fishing,,,,,
200010546,Fishing,,,,,
200010550,Fishing,,,,,
200010569,Fishing,,,,,
200010629,Fishing,,,,,
200010630,Fishing,,,,,
200010631,Fishing,,,,,
200010637,Fishing,,,,,
200010640,Fishing,,,,,
200010660,Fishing,,,,,
200010679,Fishing,,,,,
200010788,Fishing,,,,,
200010789,Fishing,,,,,
200010801,Fishing,,,,,
200010879,Fishing,,,,,
200010882,Fishing,,,,,
200010889,Fishing,,,,,
200010892,Fishing,,,,,
200010895,Fishing,,,,,
200010930,Fishing,,,,,
200010940,Fishing,,,,,
200010969,Fishing,,,,,
200010973,Fishing,,,,,
200010976,Fishing,,,,,
200011042,Fishing,,,,,
200011083,Fishing,,,,,
200011088,Fishing,,,,,
200011158,Fishing,,,,,
200011299,Fishing,,,,,
200011317,Fishing,,,,,
200011325,Fishing,,,,,
200011328,Fishing,,,,,
200011329,Fishing,,,,,
200011333,Fishing,,,,,
200011336,Fishing,,,,,
200011343,Fishing,,,,,
200011356,Fishing,,,,,
200011402,Fishing,,,,,
200011411,Fishing,,,,,
200011421,Fishing,,,,,
200011460,Fishing,,,,,
200011468,Fishing,,,,,
200011496,Fishing,,,,,
200011583,Fishing,,,,,
200011590,Fishing,,,,,
200011627,Fishing,,,,,
200011659,Fishing,,,,,
200011660,Fishing,,,,,
200011715,Fishing,,,,,
200011741,Fishing,,,,,
200011753,Fishing,,,,,
200011758,Fishing,,,,,
200011780,Fishing,,,,,
200011802,Fishing,,,,,
200011811,Fishing,,,,,
200011832,Fishing,,,,,
200011839,Fishing,,,,,
200011870,Fishing,,,,,
200011874,Fishing,,,,,
200011880,Fishing,,,,,
200011888,Fishing,,,,,
200011892,Fishing,,,,,
200011895,Fishing,,,,,
200011903,Fishing,,,,,
200011919,Fishing,,,,,
200011923,Fishing,,,,,
200011932,Fishing,,,,,
200011935,Fishing,,,,,
200011951,Fishing,,,,,
200011959,Fishing,,,,,
200011982,Fishing,,,,,
200011995,Fishing,,,,,
200011996,Fishing,,,,,
200011998,Fishing,,,,,
200012011,Fishing,,,,,
200012023,Fishing,,,,,
200012060,Fishing,,,,,
200012243,Fishing,,,,,
200012263,Fishing,,,,,
200012265,Fishing,,,,,
200012277,Fishing,,,,,
200012279,Fishing,,,,,
200012283,Fishing,,,,,
200012291,Fishing,,,,,
200012292,Fishing,,,,,
200012309,Fishing,,,,,
200012318,Fishing,,,,,
200012320,Fishing,,,,,
200012330,Fishing,,,,,
200012354,Fishing,,,,,
200012357,Fishing,,,,,
200012395,Fishing,,,,,
200012446,Fishing,,,,,
200012447,Fishing,,,,,
200012598,Fishing,,,,,
200012608,Fishing,,,,,
200012611,Fishing,,,,,
200012634,Fishing,,,,,
200012667,Fishing,,,,,
200012739,Fishing,,,,,
200012743,Fishing,,,,,
200012784,Fishing,,,,,
200012816,Fishing,,,,,
200012862,Fishing,,,,,
200012874,Fishing,,,,,
200012877,Fishing,,,,,
200012894,Fishing,,,,,
200012897,Fishing,,,,,
200012915,Fishing,,,,,
200012939,Fishing,,,,,
200012943,Fishing,,,,,
200012951,Fishing,,,,,
200012954,Fishing,,,,,
200012976,Fishing,,,,,
200013008,Fishing,,,,,
200013012,Fishing,,,,,
200013019,Fishing,,,,,
200013020,Fishing,,,,,
200013040,Fishing,,,,,
200013056,Fishing,,,,,
200013063,Fishing,,,,,
200013073,Fishing,,,,,
200013082,Fishing,,,,,
200013089,Fishing,,,,,
200013126,Fishing,,,,,
200013127,Fishing,,,,,
200013132,Fishing,,,,,
